Temperature,Pot_E,Ke_E,Total_E
0.03000000000000001,3833.623018408625,30.002591979985,3863.62561038861
0.06000000000000002,3890.043875954057,59.891519724767505,3949.9353956788245
0.09,3929.852122752095,89.975779394615,4019.82790214671
0.12000000000000004,3965.62686008977,120.02065003467249,4085.6475101244428
0.14999999999999997,4000.9282649681345,150.09674855538,4151.025013523515
0.18,4031.299541747432,180.7520377803225,4212.051579527754
0.21,4059.4968730574374,210.06022172075,4269.557094778187
0.24000000000000007,4086.872621552595,239.73356649933754,4326.606188051933
0.27,4113.059207502441,269.742473127045,4382.801680629485
0.29999999999999993,4135.785512838822,300.56927789255,4436.354790731372
