Velocidad	Densidad
0.0	0.0
0.01818181818181818	0.6027306111312759
0.03636363636363636	1.1857000090972303
0.05454545454545454	1.7302228649724323
0.07272727272727272	2.2196839108236124
0.09090909090909091	2.64037665066893
0.10909090909090909	2.982127803908038
0.12727272727272726	3.2386688912440023
0.14545454545454545	3.4077395191699473
0.16363636363636364	3.4909304235457883
0.18181818181818182	3.493295701703813
0.19999999999999998	3.422780793550613
0.21818181818181817	3.2895241929783263
0.23636363636363636	3.105095876364814
0.2545454545454545	2.8817341101931806
0.2727272727272727	2.631635435975779
0.2909090909090909	2.366341554886277
0.3090909090909091	2.0962531875833053
0.32727272727272727	1.8302864836463446
0.34545454545454546	1.5756737758662005
0.36363636363636365	1.3378986832833115
0.3818181818181818	1.1207466149386813
0.39999999999999997	0.9264460163040205
0.41818181818181815	0.755873214203002
0.43636363636363634	0.6087940921493613
0.45454545454545453	0.4841184678926336
0.4727272727272727	0.38014722912738697
0.4909090909090909	0.29479727934431976
0.509090909090909	0.22579449526161338
0.5272727272727272	0.170829674683643
0.5454545454545454	0.12767649562533293
0.5636363636363636	0.09427361531688008
0.5818181818181818	0.06877515878940414
0.6	0.04957504353332717
0.6181818181818182	0.03531099929546875
0.6363636363636364	0.024853951594630833
0.6545454545454545	0.017287834771638547
0.6727272727272727	0.01188406205360417
0.6909090909090909	0.008073953682432947
0.7090909090909091	0.00542152069939697
0.7272727272727273	0.0035981954213582627
0.7454545454545454	0.0023604306207056294
0.7636363636363636	0.0015305717293084657
0.7818181818181817	0.0009810344361456378
0.7999999999999999	0.0006215760304783204
0.8181818181818181	0.0003893088418108681
0.8363636363636363	0.00024104278833360493
0.8545454545454545	0.00014753773501783953
0.8727272727272727	8.927499209435141e-05
0.8909090909090909	5.340505638928554e-05
0.9090909090909091	3.1584092510722215e-05
0.9272727272727272	1.8466945243869077e-05
0.9454545454545454	1.0675029934601254e-05
0.9636363636363636	6.100941854059776e-06
0.9818181818181818	3.4473423958012857e-06
1.0	1.925916173139711e-06
1.018181818181818	1.0638028114785086e-06
1.0363636363636364	5.809794409441202e-07
1.0545454545454545	3.1371919359252556e-07
1.0727272727272728	1.6749686456217028e-07
1.0909090909090908	8.842231478245507e-08
1.1090909090909091	4.6154155615697526e-08
1.1272727272727272	2.3820857756262444e-08
1.1454545454545455	1.2156410944532415e-08
1.1636363636363636	6.134205208758774e-09
1.1818181818181817	3.0606916025401792e-09
1.2	1.510053817711639e-09
1.218181818181818	7.366818218366588e-10
1.2363636363636363	3.553735576006355e-10
1.2545454545454544	1.695160095420303e-10
1.2727272727272727	7.995755177181484e-11
1.2909090909090908	3.729357358507513e-11
1.309090909090909	1.720032838791401e-11
1.3272727272727272	7.844586895371578e-12
1.3454545454545455	3.5378246165272886e-12
1.3636363636363635	1.5777478272505367e-12
1.3818181818181818	6.957865882444219e-13
1.4	3.03426638254495e-13
1.4181818181818182	1.3084962677535472e-13
1.4363636363636363	5.5800008869325896e-14
1.4545454545454546	2.3531024752686468e-14
1.4727272727272727	9.812822326132893e-15
1.4909090909090907	4.046646034288874e-15
1.509090909090909	1.6502368940871571e-15
1.5272727272727271	6.655009910215726e-16
1.5454545454545454	2.6540185412731217e-16
1.5636363636363635	1.0466789025100186e-16
1.5818181818181818	4.0820531006759806e-17
1.5999999999999999	1.5743483502652542e-17
1.6181818181818182	6.004561782761702e-18
1.6363636363636362	2.2647556736353074e-18
1.6545454545454545	8.447382523696969e-19
1.6727272727272726	3.1159099881240963e-19
1.690909090909091	1.136608024723572e-19
1.709090909090909	4.100159034875174e-20
1.7272727272727273	1.4627022150004232e-20
1.7454545454545454	5.1603290781647544e-21
1.7636363636363634	1.800388109035126e-21
1.7818181818181817	6.211880608845937e-22
1.8	2.1195771433204695e-22
