U	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	8.146257290955566	8.057413414091558	4.491973946839012	2.2479842306701405	0.6483212779502399	0.008360907794242433
0.06	8.136854053087871	8.05544701012549	4.491594306345815	2.2477241180049155	0.6482668433745521	0.008360853485393432
0.12	8.13759023537479	8.055108939232182	4.490454990830999	2.246943803090279	0.6481035641386864	0.008360690561447838
0.18	8.140449431281914	8.056764708747712	4.48855481768172	2.245643355502755	0.6478315137045519	0.008360419030211588
0.24	8.139839543011288	8.057564858679434	4.485891814192406	2.243822892314636	0.647450814469702	0.008360038904693747
0.3	8.141125055093308	8.056992077351683	4.482463215060614	2.2414825797610196	0.646961637708825	0.00835955020310382
0.36	8.141389648287463	8.05544802995368	4.478265458925437	2.23862263557354	0.6463642034917385	0.008358952948852867
0.42	8.136398113957155	8.053541154514589	4.473294183992479	2.235243331980435	0.6456587805777692	0.008358247170548713
0.48	8.133309935060232	8.05230930434328	4.467544222801981	2.231344999372631	0.6448456862863955	0.008357432901994302
0.54	8.135270639340934	8.051592881818227	4.461009596209359	2.226928030634951	0.6439252863439722	0.00835651018218371
0.6	8.136797183453032	8.05050931175143	4.453683506660486	2.2219928861414275	0.6428979947063883	0.008355479055299356
0.6599999999999999	8.132303471294327	8.048907203041255	4.445558330857898	2.2165400994128572	0.6417642733574066	0.008354339570707019
0.72	8.129440490052911	8.047824691353707	4.436625611929042	2.2105702834343286	0.6405246320824748	0.008353091782949846
0.78	8.131718345094338	8.047320290028704	4.426876051224534	2.2040841376293057	0.6391796282177448	0.00835173575174621
0.84	8.133862527213989	8.046665785848258	4.416299499893153	2.19708245548592	0.637729866374028	0.008350271541980734
0.8999999999999999	8.130556692667247	8.045706757453148	4.4048849504021526	2.189566132829782	0.6361759981354014	0.008348699223699305
0.96	8.128743415518654	8.045148057764923	4.3926205281966055	2.1815361767360444	0.634518721732138	0.008347018872102282
1.02	8.131218069928753	8.044665644946267	4.3794934837205455	2.172993715071667	0.6327587816876566	0.008345230567536983
1.08	8.132662946332452	8.043797955645353	4.365490185055834	2.1639400066567456	0.6308969684391689	0.008343334395489718
1.14	8.13110953941371	8.042941108389867	4.350596111473056	2.154376452031468	0.6289341179316819	0.008341330446578784
