Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(6.38, 6.4399999999999995)	6.38	6.4399999999999995	4678	-1.0	1.6025	-2.4167879846756017	252477	0.631194077985195
(6.4399999999999995, 6.5)	6.4399999999999995	6.5	4620	-1.0	1.6175	-2.3646891575013056	257097	0.6427441068602672
(6.5, 6.5600000000000005)	6.5	6.5600000000000005	4559	-1.0	1.6325	-2.312026332436498	261656	0.6541416353540884
(6.5600000000000005, 6.62)	6.5600000000000005	6.62	4515	-1.0	1.6475	-2.2688652590303784	266171	0.6654291635729089
(6.62, 6.68)	6.62	6.68	4398	-1.0	1.6625	-2.1901302560964218	270569	0.6764241910604777
(6.68, 6.74)	6.68	6.74	4506	-1.0	1.6775	-2.2238476543294885	275075	0.687689219223048
(6.74, 6.8)	6.74	6.8	4381	-1.0	1.6925	-2.142993973208042	279456	0.6986417466043665
(6.8, 6.859999999999999)	6.8	6.859999999999999	4329	-1.0	1.7075	-2.098955577870329	283785	0.7094642736606841
(6.859999999999999, 6.92)	6.859999999999999	6.92	4392	-1.0	1.7225	-2.110957427005532	288177	0.7204443011107527
(6.92, 6.98)	6.92	6.98	4324	-1.0	1.7375	-2.060332180485882	292501	0.7312543281358204
(6.98, 7.04)	6.98	7.04	4454	-1.0	1.7525	-2.104110578999584	296955	0.74238935597339
(7.04, 7.1)	7.04	7.1	4429	-1.0	1.7675	-2.0745439103819603	301384	0.7534618836547091
(7.1, 7.16)	7.1	7.16	4647	-1.0	1.7825	-2.1583382522315646	306031	0.7650794126985317
(7.16, 7.22)	7.16	7.22	4672	-1.0	1.7974999999999999	-2.151841648233331	310703	0.7767594418986048
(7.22, 7.279999999999999)	7.22	7.279999999999999	4608	-1.0	1.8125	-2.104799970632864	315311	0.7882794706986768
(7.279999999999999, 7.34)	7.279999999999999	7.34	4635	-1.0	1.8275	-2.099755496096498	319946	0.7998669996674992
(7.34, 7.4)	7.34	7.4	4908	-1.0	1.8425	-2.2053292178733406	324854	0.8121370303425759
(7.4, 7.46)	7.4	7.46	5099	-1.0	1.8575	-2.2726500320807412	329953	0.8248845622114055
(7.46, 7.52)	7.46	7.52	5125	-1.0	1.8725	-2.2659400586437872	335078	0.8376970942427356
(7.52, 7.58)	7.52	7.58	5491	-1.0	1.8875	-2.408467871335201	340569	0.8514246285615714
(7.58, 7.64)	7.58	7.64	5777	-1.0	1.9024999999999999	-2.5139351824287837	346346	0.8658671646679117
(7.64, 7.699999999999999)	7.64	7.699999999999999	6218	-1.0	1.9175	-2.6846750019272196	352564	0.8814122035305089
(7.699999999999999, 7.76)	7.699999999999999	7.76	6739	-1.0	1.9324999999999999	-2.8870368526412826	359303	0.8982597456493642
(7.76, 7.82)	7.76	7.82	7755	-1.0	1.9475	-3.296709728152271	367058	0.9176472941182353
(7.82, 7.88)	7.82	7.88	8766	-1.0	1.9625	-3.698010796333577	375824	0.9395623489058723
(7.88, 7.9399999999999995)	7.88	7.9399999999999995	10739	-1.0	1.9775	-4.495973306291391	386563	0.9664099160247901
(7.9399999999999995, 8.0)	7.9399999999999995	8.0	13436	-1.0	1.9925	-5.582748183817398	399999	1.0
