U	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	7.6243758908049974	7.5388456764092275	4.246554156672604	2.1354821830714594	0.6184288962082676	0.008018340093438481
0.06	7.612597466934164	7.535731883827787	4.2462111630846735	2.135238170183951	0.6183772513291271	0.008018288034397966
0.12	7.608221637384985	7.533001302042144	4.245181793106351	2.1345061461793056	0.6182223397765035	0.008018131859768029
0.18	7.607382614220461	7.532651540923733	4.243464878514567	2.1332861553592286	0.6179642307940917	0.008017871577024814
0.24	7.604863418505999	7.532820211960347	4.241058470344699	2.1315782726534076	0.6176030397523283	0.008017507198624187
0.3	7.608270098552165	7.534260725732827	4.237959836020787	2.129382605260045	0.6171389280947833	0.008017038742007175
0.36	7.615755746518346	7.5365708614174185	4.234165455376822	2.1266992949430503	0.6165721032629561	0.008016466229590789
0.42	7.614490173093668	7.537194495269626	4.229671015608366	2.1235285209862385	0.6159028185994324	0.008015789688772505
0.48	7.611803839115503	7.536493324167149	4.22447140520557	2.119870503804791	0.6151313732292297	0.008015009151922733
0.54	7.611330250887048	7.534793166851549	4.218560706930477	2.115725509214361	0.6142581119191517	0.008014124656384227
0.6	7.609485419420184	7.532795712161619	4.211932189914144	2.111093853357568	0.6132834249149975	0.008013136244467164
0.6599999999999999	7.607681125878616	7.532074782126796	4.20457830096219	2.1059759082876184	0.612207747756378	0.008012043963447624
0.72	7.605878149879445	7.532000491249274	4.196490655171383	2.100372108208069	0.6110315610688817	0.008010847865558127
0.78	7.608642161406488	7.532618122201226	4.187660025975003	2.0942829563670142	0.6097553903333627	0.008009548007986884
0.84	7.613213329222493	7.533776611335751	4.178076334751722	2.0877090326031373	0.6083798056320254	0.008008144452871012
0.8999999999999999	7.612603854816045	7.534493872491716	4.167728640151281	2.080651001539942	0.6069054213710354	0.008006637267289082
0.96	7.6109095444005135	7.534607464397664	4.156605127311871	2.0731096214229088	0.6053328959792842	0.00800502652325705
1.02	7.612541705970925	7.534488406736451	4.1446930971687985	2.0650857535929164	0.6036629315830176	0.008003312297718827
1.08	7.614554511901032	7.534672704801717	4.131978956082413	2.0565803725871152	0.6018962736559746	0.00800149467254072
1.14	7.61500833818884	7.535681551517288	4.118448206046468	2.0475945768563677	0.6000337106446535	0.007999573734501586
1.2	7.615097034798856	7.536748549620776	4.104085435775985	2.0381296000855866	0.5980760735683838	0.007997549575285897
1.26	7.618409101253927	7.537429082147129	4.088874313018192	2.028186823100712	0.5960242355938122	0.007995422291474267
1.3199999999999998	7.621059941507898	7.537520571335089	4.072797578479991	2.0177677863425014	0.5938791115834695	0.007993191984535407
1.38	7.618523574983124	7.53713220864194	4.055837041823529	2.0068742028839304	0.5916416576180374	0.007990858760812678
1.44	7.616482701757222	7.536931184678573	4.03797358024624	1.9955079719639686	0.589312870492016	0.007988422731517217
1.5	7.619588232200332	7.537479698981854	4.019187140235355	1.9836711930060762	0.5868937871823879	0.007985884012717359
1.56	7.624138240602729	7.538698840310587	3.9994567431688535	1.9713661800852447	0.5843854842900249	0.007983242725323653
1.6199999999999999	7.624693893925807	7.540203465932152	3.978760495525599	1.9585954768021525	0.5817890774535266	0.00798049899508057
1.68	7.625693322727282	7.541867947427032	3.957075604567772	1.94536187151786	0.5791057207351817	0.007977652952554119
1.74	7.630646836955107	7.543325220316276	3.934378400466938	1.9316684128963948	0.5763366059788354	0.007974704733117401
1.7999999999999998	7.63462852879713	7.544044666682174	3.910644365963155	1.9175184256969913	0.573482962139448	0.007971654476938095
1.8599999999999999	7.633045791857102	7.544075395384968	3.8858481747704925	1.9029155267510782	0.570546054584135	0.007968502328966448
1.92	7.6315760329629025	7.5438200419608	3.8599637400734417	1.887863641052934	0.5675271843645617	0.007965248438919475
