Step,Ke_T,Ke_M,Temp_Act,Temp_Tar,Vx_Mean,Vy_Mean,Pot_Energy
100,"538,943151751","5,389431518","5,389431518","5,627000000","0,091283841","-0,663870786","12561,545954772"
200,"715,202447131","7,152024471","7,152024471","5,627000000","0,032130491","-0,435412038","12682,641956655"
300,"664,409168070","6,644091681","6,644091681","5,627000000","-0,090246092","0,108437859","13005,416701895"
400,"741,370322299","7,413703223","7,413703223","5,627000000","0,026206089","0,336667365","12680,193094078"
500,"557,480916067","5,574809161","5,574809161","5,627000000","-0,265156488","0,577994155","12562,497326827"
600,"412,163357565","4,121633576","4,121633576","5,627000000","0,159108707","-0,349241950","12547,315031898"
700,"427,898734557","4,278987346","4,278987346","5,627000000","-0,109652664","-0,275113784","12504,939640749"
800,"560,407116230","5,604071162","5,604071162","5,627000000","0,185406612","-0,307519588","12519,377921944"
900,"736,525606562","7,365256066","7,365256066","5,627000000","0,033561041","-0,136356037","12641,607570082"
1000,"774,686799729","7,746867997","7,746867997","5,627000000","-0,023546531","0,547664030","12831,105033013"
1100,"624,222268067","6,242222681","6,242222681","5,627000000","0,067750196","0,680729155","12828,579829764"
1200,"507,566873127","5,075668731","5,075668731","5,627000000","0,005244230","0,151968645","12626,152731102"
1300,"440,223302242","4,402233022","4,402233022","5,627000000","0,088823390","-0,252520101","12487,672632565"
1400,"488,598716411","4,885987164","4,885987164","5,627000000","0,293049022","-0,617014346","12403,884399728"
1500,"580,419135202","5,804191352","5,804191352","5,627000000","-0,014584044","-0,282351452","12426,396398974"
1600,"674,448208667","6,744482087","6,744482087","5,627000000","-0,253968684","0,350107142","12534,671152037"
1700,"729,717518655","7,297175187","7,297175187","5,627000000","-0,088619338","0,846976633","12491,324291402"
1800,"440,856735381","4,408567354","4,408567354","5,627000000","0,154061684","0,309525130","12916,411127123"
1900,"568,539890797","5,685398908","5,685398908","5,627000000","0,258982981","-0,411644943","12663,757052114"
2000,"608,130516334","6,081305163","6,081305163","5,627000000","0,332339034","-0,043206536","12627,840839833"
2100,"606,077362095","6,060773621","6,060773621","5,627000000","-0,130037494","-0,160037364","12615,079322543"
2200,"581,308168505","5,813081685","5,813081685","5,627000000","-0,305377687","0,294222752","12598,392916363"
2300,"545,106965217","5,451069652","5,451069652","5,627000000","-0,086187704","0,031850013","12625,762583648"
2400,"518,903400330","5,189034003","5,189034003","5,627000000","0,254979455","-0,172857409","12716,478123192"
2500,"513,320237385","5,133202374","5,133202374","5,627000000","0,055626894","-0,107648348","12830,541448404"
2600,"585,276724559","5,852767246","5,852767246","5,627000000","0,005065719","0,174513723","12741,353850483"
2700,"564,560991277","5,645609913","5,645609913","5,627000000","-0,379747219","-0,207867519","12814,893807971"
2800,"691,814933448","6,918149334","6,918149334","5,627000000","-0,296567064","0,263438927","12594,947422032"
