U	Potencial_0.004	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	7.9968420268206994	7.921402254411883	7.822402630270799	4.373618748146645	2.1949278807986476	0.6339946481906735	0.00818128057520712
0.06	7.974623990851955	7.906825324780315	7.81764241481302	4.373258895198763	2.1946758179839425	0.6339414977454646	0.00818122742491008
0.12	8.047507452247581	7.897631402568068	7.810303728285166	4.3721789471295365	2.193919647432554	0.6337820702248862	0.008181067976565828
0.18	7.946911050212252	7.883770859786177	7.802616295006492	4.370377735641893	2.19265942315323	0.6335164370629658	0.008180802237813159
0.24	7.916729847914216	7.872165360548926	7.796238207843478	4.367853311513037	2.190895236262422	0.6331447172793732	0.008180430221380467
0.3	7.926026878646847	7.8694908733303555	7.792752392898672	4.364602941526511	2.188627216637265	0.632667077423797	0.008179951945089551
0.36	8.009281314513649	7.872131080316873	7.7914579570392615	4.360623104224366	2.185855535229965	0.6320837314979728	0.00817936743184808
0.42	7.9269970543697	7.867673325546947	7.790050643939456	4.35590948452688	2.182580407043801	0.631394940855218	0.008178676709651398
0.48	7.908326790796669	7.864449787357941	7.789537683019271	4.350456967281424	2.1788020947707722	0.6306010140773991	0.008177879811577762
0.54	7.926118838290606	7.868691601403518	7.791221075390525	4.344259629816618	2.1745209130908374	0.6297023068291027	0.008176976775786037
0.6	8.016122361167822	7.877026683220369	7.7943632089725075	4.337310733593764	2.169737233632276	0.6286992216888452	0.008175967645511753
0.6599999999999999	7.942418558927305	7.878604043800967	7.796542353682389	4.329602715064202	2.164451490592399	0.6275922079571068	0.008174852469062407
0.72	7.925594990761882	7.8775624081034135	7.7971142239896	4.321127175860034	2.1586641870171364	0.62638176144092	0.008173631299812708
0.78	7.942342741177405	7.878967614166263	7.796372992961014	4.3118748724654665	2.1523759017372437	0.6250684242147746	0.008172304196200658
0.84	8.0213507903491	7.879299892208798	7.79445062795472	4.301835705538428	2.1455872969579866	0.6236527843575281	0.008170871221721764
0.8999999999999999	7.937572786951659	7.873729635889822	7.791354919470854	4.290998709075821	2.13829912649789	0.6221354756650453	0.008169332444919552
0.96	7.913090099130915	7.866380877347321	7.787467771265725	4.279352039641417	2.1305122446705824	0.620517177338187	0.008167687939382929
1.02	7.924104223504865	7.864182426217695	7.7843786580244725	4.26688296590325	2.1222276158023154	0.6187986136458915	0.008165937783738296
1.08	8.00116102847957	7.865593722929561	7.783039439043195	4.253577858756603	2.1134463243754293	0.6169805535629456	0.008164082061639776
1.14	7.926422904713015	7.864321494011528	7.782917861070588	4.239422182340826	2.104169585786024	0.6150638103821104	0.008162120861762602
1.2	7.912414462516476	7.86446597550963	7.78367027166909	4.224400486292684	2.0943987577012115	0.6130492413002451	0.008160054277794586
1.26	7.933249902133219	7.868660304263217	7.78456389008033	4.208496399617431	2.0841353519986967	0.6109377469780566	0.008157882408426102
1.3199999999999998	8.01513515902892	7.871823884231319	7.7849496300510195	4.191692626601221	2.073381047267854	0.6087302710731537	0.008155605357342523
1.38	7.937504412658778	7.870844586337144	7.7849291466435835	4.173970945237259	2.06213770184808	0.6064277997460085	0.00815322323321013
1.44	7.917383327385514	7.867753188291658	7.784109709295788	4.155312208692439	2.05040736737609	0.604031361138493	0.008150736149670176
1.5	7.933755030752587	7.869093789031334	7.7834524569639765	4.135696350404668	2.038192302809569	0.6015420248246951	0.008148144225325586
1.56	8.020435320005898	7.872964805009435	7.7836624854175085	4.115102393471877	2.0254949888899105	0.5989609012336404	0.008145447583729138
