u/R	q/Q_1.0	q/Q_0.50	q/Q_0.0	q/Q_-0.50	q/Q_-1.0
1.7525	0.2494493580599144	0.1665227850162366	0.6301369472182596	0.9178215601276808	0.7425413481921489
1.7675	0.2703537803138374	0.187954494483854	0.6520228245363766	0.9241410879910538	0.7535656307150662
1.7825	0.2920171184022824	0.2107195413810795	0.6738402282453637	0.9307309699876192	0.7652546797565756
1.7975	0.3146305278174037	0.2355398941317792	0.6957603423680456	0.9366081001784952	0.7769408757228979
1.8125	0.3382967189728958	0.2625415131843723	0.7178830242510699	0.9424913747814894	0.788461593328369
1.8275	0.363925820256776	0.2914632610238434	0.7402910128388017	0.948070500984642	0.7999708986330917
1.8425	0.3905706134094151	0.3226922356136271	0.7627132667617689	0.9533178289334222	0.8122191504112708
1.8575	0.4192039942938659	0.3561393429780122	0.785506419400856	0.9585713012943204	0.8250094864749971
1.8725	0.4504108416547789	0.3928460609710014	0.8084022824536377	0.9639476618975787	0.8376971118319881
1.8875	0.4833723252496433	0.4334114697741006	0.831358059914408	0.9687956030586884	0.8514061381059576
1.9025	0.5196205420827389	0.4780383349872042	0.8548987161198288	0.9735698112743818	0.8659197315826864
1.9175	0.5593980028530671	0.5269877941253276	0.8779971469329529	0.97808288197506	0.8814404606004582
1.9325	0.603583452211127	0.5826776733569073	0.9018773181169758	0.9826236025302688	0.8983021349561625
1.9475	0.6534151212553495	0.6462293278934804	0.9259457917261056	0.9869584852795248	0.9175290086419648
1.9625	0.7113523537803138	0.7195751753461608	0.9496405135520684	0.9913548121499606	0.939412095326948
1.9775	0.7983480741797432	0.8138304572364278	0.9740713266761768	0.9956528284265084	0.966393627371262
1.9925	1.0	1.0	1.0	1.0	1.0
