u/R	q/Q_1.0	q/Q_0.50	q/Q_0.0	q/Q_-0.50	q/Q_-1.0
0.01	0.0002168343328635	0.0002334869431643	0.000191155492154	0.0001658991271862	0.0001768901569186
0.03	0.0008502188314911	0.0008448540706605	0.0008102710413694	0.000703535187512	0.0006191155492154
0.05	0.0019429497457902	0.0018617511520737	0.0017032810271041	0.0015453196476794	0.0014778887303851
0.07	0.0034037284092919	0.0031520737327188	0.0032353780313837	0.0027957075136943	0.0026790299572039
0.09	0.0054094459882795	0.0050291858678955	0.0051126961483594	0.0043840380461998	0.0042054208273894
0.11	0.007845979149667	0.0072718894009216	0.0072696148359486	0.0063594665421399	0.0059771754636233
0.13	0.0106819439768557	0.0098678955453149	0.0098316690442225	0.0085438050500923	0.0081768901569186
0.15	0.0139002219698828	0.0127649769585253	0.0129728958630527	0.0111029526972433	0.0107075606276747
0.1699999999999999	0.017535050128674	0.0162857142857142	0.0163309557774607	0.0140799203684189	0.0135149786019971
0.19	0.0217804381194757	0.0202150537634408	0.0201398002853067	0.0174255527666751	0.0167532097004279
0.21	0.0264766132759673	0.0243195084485407	0.0245392296718972	0.0211091278314219	0.0203708987161198
0.2299999999999999	0.031606457098186	0.0289155145929339	0.0292182596291012	0.0252658226292553	0.0242339514978602
0.25	0.0369331636699781	0.0343102918586789	0.0343708987161198	0.0297973265662874	0.0286504992867332
0.27	0.0430901174899714	0.0400122887864823	0.0400656205420827	0.0346268344910429	0.033246790299572
0.29	0.0494553463928467	0.0460307219662058	0.0458858773181169	0.0398465125852921	0.0385221112696148
0.31	0.0563997512111338	0.052405529953917	0.0523480741797432	0.0456099711519851	0.044002853067047
0.33	0.0635952273622103	0.0593149001536098	0.0591640513552068	0.0516622170882245	0.0500285306704707
0.35	0.0717008370946481	0.0666728110599078	0.066493580599144	0.0578957231819452	0.0562453637660485
0.37	0.079937688660135	0.0747557603686635	0.0745620542082739	0.0649556527055382	0.0629728958630527
0.39	0.0888164839742309	0.0832104454685099	0.0830641940085592	0.0724395466652739	0.0700370898716119
0.41	0.0981660380373069	0.0925560675883256	0.0919600570613409	0.0801169896067269	0.0776804564907275
0.43	0.1082345690988251	0.1018556067588325	0.1012696148359486	0.0883689350812137	0.0858031383737517
0.45	0.1190677264920199	0.1117849462365591	0.1112895863052781	0.0972598994159736	0.0943623395149786
0.47	0.1300406849682452	0.1222273425499231	0.1220342368045649	0.1067100052534723	0.1036319543509272
0.49	0.1420321941922635	0.1331766513056835	0.1328416547788873	0.1166977471512969	0.1136747503566333
0.51	0.1545087275818977	0.1450691244239631	0.1445192582025677	0.1271463199579722	0.1239372325249643
0.53	0.1674788443871291	0.1573364055299539	0.1569215406562054	0.1383291500127496	0.1348559201141226
0.55	0.1813505355237405	0.1702826420890937	0.1700912981455064	0.1500035330369678	0.1463452211126961
0.5700000000000001	0.1958499049923252	0.183837173579109	0.1840085592011412	0.1625381337577074	0.1583338088445078
0.59	0.2109427157929574	0.198147465437788	0.1984051355206847	0.1755581430357697	0.1711583452211127
0.61	0.2263351003429406	0.2133149001536098	0.2134293865905848	0.1890758496953907	0.1848587731811697
0.63	0.2430399032234135	0.2291674347158218	0.2297917261055634	0.2035029293484772	0.1992011412268188
0.65	0.2608602616848027	0.2459016897081413	0.2467047075606276	0.2189284759707403	0.2144279600570613
0.67	0.2793938909779799	0.2630875576036866	0.2645934379457917	0.235450800156068	0.2309044222539229
0.6900000000000001	0.2990088388521475	0.2822181259600614	0.2838088445078459	0.252096012583756	0.2483994293865906
0.71	0.3191772848917825	0.3017757296466974	0.3041226818830242	0.2706398483559089	0.2668758915834522
0.73	0.3407580071783576	0.3222089093701997	0.3253951497860199	0.2902036565396514	0.2865962910128388
