U	Potencial_0.004	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	517.8850938651132	515.6556407585375	511.7591025690745	288.00127966711716	150.28845336591112	50.08943116632906	0.9310977092967253
0.12	525.0603369198765	517.564511423139	512.7713267547914	287.8993056559432	150.22576050980783	50.076306145579814	0.9310750491478953
0.24	522.1821058590259	519.1123859298954	513.9778415554537	287.59298302174625	150.03773423318242	50.036953147584114	0.9310070726938307
0.36	528.7997863252522	520.0353972429648	514.6067107312426	287.0811096404668	149.72453275235853	49.97143831107271	0.9308937919098973
0.48	523.693762662962	520.499299476161	515.1310606716497	286.3616808068266	149.28642422290812	49.87987168712078	0.9307352267505894
0.6	530.7720333282921	521.2282590944661	515.4366091282316	285.43188725983816	148.72379339920076	49.762406968726836	0.9305314051422199
0.72	524.3966869420201	520.9653268804636	515.2853821323256	284.2881122699051	148.03715088889933	49.61924111183113	0.9302823629731878
0.84	529.1126819014927	520.0394072450679	514.4005715053972	282.92592823933074	147.22714492689073	49.45061384743417	0.9299881440812154
0.96	522.3292565154915	519.1154760869347	513.710054037609	281.3400940238696	146.29457556223363	49.256807084442926	0.9296488002379929
1.08	527.6410048650318	518.8038998187428	513.1985182123028	279.52455512428844	145.2404111141478	49.038144202902465	0.9292643911307427
1.2	522.0236596344438	518.6369119593624	512.9872318363248	277.4724499209702	144.0658067077484	48.794989237344154	0.9288349843413936
1.3199999999999998	527.925138072274	518.3808044340819	512.496751467256	275.1761261740344	142.7721246464517	48.527745950140826	0.9283606553226237
1.44	521.3002853038571	517.8648969221265	512.0877206167743	272.6271730936101	141.36095631537987	48.236856794970734	0.9278414873713211
1.56	528.3788421355536	517.8442525022473	511.58908832401363	269.81647545117784	139.83414523900097	47.92280177079901	0.9272775715992586
1.68	520.2178857379439	516.7137391944191	510.78421479051815	266.7342975033433	138.1938108375918	47.5860971671603	0.9266690069011438
1.7999999999999998	527.7593638858972	516.5471858843155	510.0485724096573	263.37040593412604	136.44237234279277	47.22729420198119	0.9260158999197621
1.92	518.8522565071551	515.2385226042937	509.1137486435827	259.71424251054265	134.58257224536976	46.846977553722176	0.9253183650087091
2.04	526.1180075641753	515.0834074732551	508.41095509701177	255.7551585170228	132.61749856228022	46.44576379022435	0.9245765241921554
2.16	518.2009778050301	514.3063663292763	507.7408715964622	251.4827240219429	130.55060513028295	46.02429969731894	0.9237905071222918
2.28	526.0698985694333	514.3316361601148	507.1533006472253	246.8871252646011	128.3857290658523	45.58326051100065	0.9229604510337214
2.4	518.3526465901008	513.9478677017248	506.5971307391747	241.95966242765078	126.12710448300169	45.12334805774194	0.922086500695894
2.52	526.8317030734369	513.4034610601941	505.4090910908791	236.69335709464926	123.77937153945763	44.64528880834481	0.9211688083623464
2.6399999999999997	516.3347192507342	511.7078560815451	503.88065631021885	231.08367290615396	121.34757989506157	44.14983185157196	0.9202075337177281
2.76	526.4195422988514	511.32314746290217	502.4079318055453	225.1293433133091	118.83718572139082	43.63774679464101	0.9192028438223938
2.88	514.3021883033996	509.06977314703437	500.24909166676105	218.83328596621882	116.25404150409048	43.10982159850414	0.9181549130542803
3.0	524.6868260678393	507.9073796239381	497.8936566479281	212.20356375179244	113.60437803268844	42.56686035664522	0.9170639230485007
3.12	511.27393144703683	505.2268905792414	495.0228685392245	205.25432851198448	110.89477817704478	42.00968102688686	0.9159300626345005
3.2399999999999998	524.2795743380151	504.00170404157626	491.95027574739856	198.0066575332358	108.13214230150122	41.43911312640795	0.914753527770937
3.36	508.88348681068703	501.070869264402	488.0090746613632	190.4891698275519	105.32364545929562	40.85599540078522	0.9135345214780389
3.48	526.1691711191347	498.4158222473946	482.23111309429765	182.73829610532164	102.47668682854268	40.261173478408345	0.9122732537677285
3.5999999999999996	502.7628482378968	491.5245649176283	472.96864255246123	174.79808139826622	99.59883218057827	39.655497522029805	0.9109699415716744
3.7199999999999998	528.2570979138243	482.22231267403555	456.6345461653926	166.7194295114307	96.69775049220978	39.039819889511314	0.9096248086668148
3.84	474.7489068336986	453.3042515181318	420.98610055618354	158.5587562580701	93.78114610416176	38.414992815989706	0.9082380855990495
3.96	491.68859571315363	370.88049951062493	332.1022302195593	150.3760984323241	90.85668806781511	37.78186612971662	0.9068100096045698
4.08	108.66888362884086	134.39154714418595	164.67458980174487	142.2328135503412	87.93193849246772	37.14128501370409	0.9053408245289883
4.2	62.57351350561791	71.59010582275138	90.43120186160905	134.18908105503596	85.0142817914679	36.494087825049355	0.9038307807449293
4.32	35.96948898624034	46.507671862590634	62.31606252341889	126.30145825950031	82.11085671925547	35.84110398340558	0.9022801350669376
4.4399999999999995	37.34417571714281	41.062362825584756	49.46464787112837	118.62074060221973	79.22849299130456	35.183151939523455	0.9006891506651244
4.56	26.862651010842487	32.230136531759356	40.50121820831942	111.1903256399801	76.37365409122496	34.52103723410677	0.8990580969762685
4.68	28.887283713846887	30.89941063121909	35.553382710458244	104.04519690973576	73.55238760675255	33.85555065643833	0.8973872496135031
4.8	21.642756093688174	24.988274369172128	30.166318306905037	97.21154902606821	70.77028411742101	33.187466511319776	0.8956768902741764
4.92	22.35182141394918	23.66460625700967	26.73380617430223	90.70699121061712	68.03244530339143	32.517541001874775	0.8939273066456785
5.04	15.902013211646343	18.4414388457868	22.32679749900472	84.54120831475227	65.34346158060471	31.84651073469151	0.8921387923097736
5.16	16.460741882955816	17.460877044164626	19.79432907747235	78.71693188564373	62.70739921469874	31.17509135264372	0.8903116466452128
5.279999999999999	11.773673848359223	13.68407184683776	16.61899211159334	73.23107563656978	60.12779654474802	30.503976299559174	0.8884461747288163
5.3999999999999995	12.164851148586935	12.927074853125383	14.71239336095157	68.0759111925841	57.607668673346964	29.833835719709644	0.8865426872350008
