U	Potencial_0.01	Potencial_0.02	Potencial_0.5	Potencial_1.0	Potencial_2.0	Potencial_10.0
0.0	0.16666860772286807	0.16664101222507213	0.14757820334924227	0.1150185503039663	0.0717801837688535	0.01584286566883514
0.01	0.1666732068755939	0.16664560445094798	0.14757931439061875	0.11501769056256916	0.07177965731466253	0.015842857926350696
0.02	0.16668700779712542	0.1666593845772294	0.14758264635077753	0.11501511079196035	0.07177807798188647	0.015842834698964206
0.03	0.16671002088569073	0.1666823629579753	0.1475881957342419	0.11501080935326771	0.07177544585993118	0.015842795986876212
0.04	0.16674226349893234	0.1667145568769805	0.1475959567033287	0.11500478351630697	0.07177176109785724	0.015842741790420955
0.05	0.16678375999494205	0.16675599058846063	0.14760592106029127	0.11499702946148964	0.07176702390445627	0.015842672110066357
0.06	0.1668345417899959	0.16680669537429266	0.14761807822227258	0.11498754228250312	0.07176123454835724	0.015842586946414005
0.07	0.1668946474332773	0.16686670961809488	0.14763241518902054	0.11497631598977083	0.07175439335816314	0.015842486300199146
0.08	0.16696412269896352	0.1669360788965164	0.14764891650330655	0.11496334351470419	0.07174650072261746	0.015842370172290676
0.09	0.16704302069614146	0.1670148560881944	0.14766756420397364	0.11494861671475919	0.07173755709080006	0.0158422385636911
0.1	0.16713140199711268	0.1671031015009313	0.14768833777152945	0.11493212637931337	0.07172756297235233	0.01584209147553653
0.11	0.16722933478474694	0.1672008830177401	0.1477112140661887	0.11491386223638171	0.07171651893773126	0.015841928909096643
0.12	0.16733689501964907	0.16730827626251177	0.1477361672582559	0.11489381296019063	0.07170442561849162	0.01584175086577465
0.13	0.1674541666280181	0.16742536478616862	0.14776316875073248	0.11487196617963358	0.07169128370759609	0.015841557347107293
0.14	0.1675812417111973	0.16755224027428603	0.1477921870940212	0.11484830848763164	0.07167709395975257	0.01584134835476475
0.15	0.16771822077804516	0.16768900277729532	0.1478231878925933	0.11482282545142644	0.07166185719177826	0.015841123890550667
0.16	0.16786521300140161	0.16783576096451738	0.14785613370347694	0.11479550162383283	0.07164557428298952	0.015840883956402048
0.17	0.16802233650007617	0.16799263240343223	0.1478909839264209	0.1147663205554821	0.0716282461756171	0.015840628554389256
0.18	0.16818971864795945	0.16815974386575325	0.14792769468558353	0.11473526480808705	0.07160987387524584	0.015840357686715958
0.19	0.16836749641204357	0.16833723166206155	0.1479662187025953	0.11470231596876224	0.07159045845127812	0.01584007135571905
0.2	0.16855581672134992	0.16852524200695698	0.14800650516084526	0.11466745466543424	0.07157000103741994	0.015839769563868615
0.21	0.1687548368689916	0.16872393141690967	0.1480484995608428	0.1146306605833775	0.07154850283218907	0.01583945231376788
0.22	0.1689647249498604	0.16893346714324686	0.148092143566516	0.1145919124829128	0.07152596509944423	0.01583911960815314
0.23	0.16918566033671947	0.16915402764299414	0.14813737484231332	0.11455118821830648	0.07150238916893395	0.015838771449893683
0.24	0.1694178341978155	0.16938580309060747	0.14818412688099267	0.11450846475790802	0.07147777643686481	0.015838407841991742
