U	Potencial_0.002	Potencial_0.02	Potencial_0.04	Potencial_1.0	Potencial_2.0	Potencial_4.0	Potencial_20.0
0.0	2020.1433635282874	2004.1349897767618	1981.765181394391	1061.8237559471252	523.0876097714566	150.31374494971112	1.941817937071459
0.03	2016.7375532022616	2002.155391545711	1981.5250627033574	1061.7171221978558	523.024623763944	150.3011164333754	1.9418053239550237
0.06	2035.0593156802222	2003.328919752719	1982.1511115473306	1061.3971452227102	522.8356792240231	150.2632366591599	1.941767485209835
0.09	2023.645403250044	2005.8306250881817	1983.5534212870868	1060.86359790898	522.5208166632385	150.20012294831534	1.9417044226482867
0.12	2019.5231898558695	2006.4610704945426	1984.5203750168623	1060.116101966274	522.0801038130041	150.11180415915078	1.9416161392905655
0.15	2024.56211300343	2007.7076086458985	1985.166505732904	1059.154128272065	521.5136359425348	149.9983206713736	1.9415026393645085
0.18	2049.151551431372	2009.521991967951	1985.7256648817695	1057.9769973545815	520.8215363032383	149.8597243641471	1.9413639283052204
0.21	2028.693308670131	2009.6053136817989	1985.7608792105218	1056.5838800130555	520.0039566988684	149.6960785878579	1.9412000127547058
0.24	2020.9765243318952	2007.5021916491546	1984.8557687182597	1054.9737980765556	519.0610781805137	149.50745812957774	1.9410109005609562
0.27	2023.440321894942	2006.600221741588	1983.8114854740209	1053.1456253045383	517.9931118652382	149.29394917220026	1.9407966007772874
0.3	2049.0969457793253	2007.1531689557764	1982.9836150369551	1051.0980884349638	516.8002998769641	149.05564924722879	1.9405571236614971
0.32999999999999996	2022.416282214761	2004.7673980023208	1981.6472761017985	1048.829768389282	515.4829164078976	148.79266718119823	1.940292480674785
0.36	2015.9171455095088	2002.6501523803133	1980.240662747038	1046.339101647774	514.0412688985112	148.50512303569107	1.9400026844804532
0.39	2019.5819530054682	2002.0385203966846	1979.021323779987	1043.6243818136559	512.4756993337772	148.19314804093366	1.9396877489433069
0.42	2040.2339516134623	2001.7242799653682	1977.965585842551	1040.6837613898983	510.78658565298355	147.85688452293022	1.939347689127551
0.44999999999999996	2019.9598383749162	2000.9590524435905	1976.968187423332	1037.5152537989845	508.97434327010836	147.49648582410993	1.9389825212958258
0.48	2012.568406167147	1998.6291424935507	1975.3617436885456	1034.1167356827855	507.0394267013065	147.11211621744977	1.938592262907443
0.51	2014.6228627757607	1996.8189886019318	1973.3824452506828	1030.4859495274436	504.9823312955916	146.70395081404484	1.9381769326165534
0.54	2034.5171280029033	1995.5970551537623	1971.5967461674181	1026.6205066665398	502.80359506438907	146.27217546409017	1.9377365502706276
0.57	2012.5570595244112	1994.0777129357787	1970.1284258179846	1022.5178907250931	500.5038006050117	145.8169866512372	1.9372711369081048
0.6	2006.751479540789	1992.4927847561185	1968.6354641861506	1018.1754615767302	498.0835771126541	145.3385913803059	1.9367807147570364
0.63	2010.8253497454677	1991.6122309122152	1966.785339025928	1013.5904598969126	495.54360247484516	144.83720705830922	1.9362653072321228
0.6599999999999999	2033.0513692268412	1989.9820264403418	1964.3826727647731	1008.7600124058398	492.8846054416926	144.3130613687715	1.9357249389330968
0.69	2005.597902189261	1986.4137861707304	1961.4979454065688	1003.6811379056353	490.1073678645627	143.76639213931045	1.9351596356416623
0.72	1997.2129424459954	1982.701697617107	1958.3369783536075	998.350754227128	487.2127269951817	143.1974472024681	1.9345694243195626
