Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(10.480004600000001, 10.7200044)	10.480004600000001	10.7200044	1859	-1.0	2.650001125	-116.30077050343527	302840	0.8640104991369595
(10.7200044, 10.9600042)	10.7200044	10.9600042	1813	-1.0	2.710001075	-110.91176115523629	304653	0.8691830359053366
(10.9600042, 11.200004)	10.9600042	11.200004	1758	-1.0	2.770001025	-105.21755399506078	306411	0.8741986562245903
(11.200004, 11.4400038)	11.200004	11.4400038	1737	-1.0	2.830000975	-101.75657806369179	308148	0.8791543629905422
(11.4400038, 11.6800036)	11.4400038	11.6800036	1652	-1.0	2.890000925	-94.76791412103202	309800	0.8838675625169399
(11.6800036, 11.920003399999999)	11.6800036	11.920003399999999	1762	-1.0	2.9500008749999997	-99.02230234529962	311562	0.8888945949415843
(11.920003399999999, 12.1600032)	11.920003399999999	12.1600032	1803	-1.0	3.0100008249999997	-99.30665935572839	313365	0.8940386014464844
(12.1600032, 12.400003)	12.1600032	12.400003	1808	-1.0	3.070000775	-97.63582527916027	315173	0.8991968730831229
(12.400003, 12.6400028)	12.400003	12.6400028	1726	-1.0	3.130000725	-91.42092554103381	316899	0.9041211965592503
(12.6400028, 12.880002600000001)	12.6400028	12.880002600000001	1765	-1.0	3.1900006750000003	-91.72826841949637	318664	0.9091567880629378
(12.880002600000001, 13.1200024)	12.880002600000001	13.1200024	1779	-1.0	3.250000625	-90.74898245464497	320443	0.9142323219354931
(13.1200024, 13.3600022)	13.1200024	13.3600022	1727	-1.0	3.310000575	-86.49948641196706	322170	0.9191594984379681
(13.3600022, 13.600002)	13.3600022	13.600002	1821	-1.0	3.370000525	-89.58374991900341	323991	0.9243548594171267
(13.600002, 13.8400018)	13.600002	13.8400018	1873	-1.0	3.430000475	-90.5300703182568	325864	0.9296985777663657
(13.8400018, 14.080001600000001)	13.8400018	14.080001600000001	2006	-1.0	3.490000425	-95.29161981184154	327870	0.9354217486198485
(14.080001600000001, 14.3200014)	14.080001600000001	14.3200014	1954	-1.0	3.550000375	-91.25263647539015	329824	0.940996562103251
(14.3200014, 14.5600012)	14.3200014	14.5600012	2107	-1.0	3.610000325	-96.7623829508735	331931	0.9470078886178513
(14.5600012, 14.800001)	14.5600012	14.800001	2272	-1.0	3.670000275	-102.63405567183437	334203	0.9534899644798219
(14.800001, 15.0400008)	14.800001	15.0400008	2472	-1.0	3.730000225	-109.8724652173169	336675	0.9605426456113322
(15.0400008, 15.280000600000001)	15.0400008	15.280000600000001	2711	-1.0	3.7900001750000003	-118.58767325121993	339386	0.9682772000399423
(15.280000600000001, 15.5200004)	15.280000600000001	15.5200004	3122	-1.0	3.850000125	-134.4378058086625	342508	0.9771843482974565
(15.5200004, 15.7600002)	15.5200004	15.7600002	3621	-1.0	3.910000075	-153.53274673162798	346129	0.9875151567024721
(15.7600002, 16.0)	15.7600002	16.0	4376	-1.0	3.970000025	-182.74102827714597	350505	1.0
