U	Potencial_0.0005	Potencial_0.005	Potencial_0.01	Potencial_0.25	Potencial_0.5	Potencial_1.0	Potencial_5.0
0.0	0.1949819098165196	0.1949779231733268	0.19496584417292587	0.1857278647844031	0.16479206691616258	0.12208547809406417	0.031384077609440425
0.01	0.19498996478762917	0.1949859764201388	0.1949738921970385	0.1857325743050079	0.16479255419613204	0.12208399840685454	0.031384019128763256
0.02	0.1950141401569074	0.19501014660923696	0.1949980466959781	0.18574670295158888	0.16479401262095375	0.12207955885654838	0.03138384368857937
0.03	0.1950544673413412	0.19505046513566757	0.19503833899837558	0.1857702509578261	0.16479643193992047	0.12207215797809619	0.031383551294431544
0.04	0.1951109988669133	0.19510698448858768	0.19509482148191293	0.1858032186442123	0.16479979505039788	0.12206179333302486	0.031383141955557255
0.05	0.19518380861703732	0.19517977849930518	0.19516756782017144	0.18584560631374406	0.1648040779707634	0.12204846151435053	0.03138261568488784
0.06	0.19527299218425995	0.19526894269241846	0.19525667333206947	0.18589741410419006	0.16480924980276884	0.12203215815345574	0.03138197249904754
0.07	0.19537866732922704	0.19537459474403904	0.1953622554378355	0.1859586417952188	0.164815272683576	0.12201287792892873	0.031381212418352095
0.08	0.19550097455219384	0.19549687505236102	0.19548445422673422	0.18602928856816087	0.16482210172778983	0.12199061457736417	0.03138033546680709
0.09	0.19564007778376472	0.19563594742724305	0.19562343314314778	0.18610935271565363	0.16482968495989292	0.12196536090612131	0.031379341672105925
0.1	0.19579616520310153	0.19579199990701654	0.1957793797991473	0.18619883129787268	0.16483796323756433	0.1219371088080377	0.03137823106562769
0.11	0.1959694501935858	0.19596524571247026	0.19595250692340926	0.1862977197414982	0.16484687016645014	0.12190584927809445	0.03137700368243444
0.12	0.1961601724479003	0.19615592434994022	0.19614305345828123	0.18640601137698046	0.1648563320070425	0.12187157243202783	0.031375659561268456
0.13	0.1963685992367745	0.19636430287769782	0.19635128581904457	0.18652369690907955	0.1648662675744157	0.12183426752688192	0.03137419874454896
0.14	0.19659502685827998	0.1965906773524618	0.19657749933201307	0.18665076381504034	0.16487658813166256	0.12179392298349533	0.031372621278368734
0.15	0.1968397822876485	0.19683537447593288	0.19682201987114328	0.18678719566415092	0.1648871972779788	0.12175052641091413	0.03137092721249033
0.16	0.1971032250512333	0.19709875346487765	0.19708520571640104	0.18693297135181502	0.1648979908324433	0.12170406463272061	0.031369116600341966
0.17	0.19738574935255976	0.19738120817259433	0.19736744966137332	0.18708806424066868	0.16490885671465394	0.12165452371526755	0.03136718949901321
0.18	0.1976877864835977	0.19768316949474907	0.19766918140268144	0.18725244120069873	0.1649196748234886	0.12160188899780444	0.03136514596925027
0.19	0.1980098075606286	0.19800510809877772	0.19799087024985307	0.18742606153980898	0.16493031691537485	0.12154614512448049	0.031362986075451064
0.2	0.19835232663166727	0.19834753752358666	0.1983330282017058	0.1876088758158457	0.16494064648356818	0.12148727607820736	0.031360709885659956
0.21	0.19871590421165838	0.19871101770548885	0.19869621344432026	0.18780082452079666	0.16495051864005317	0.12142526521636178	0.031358317471562216
0.22	0.1991011513130788	0.19909615899764002	0.19908103433676927	0.1880018366277467	0.16495978000179815	0.12136009530830555	0.03135580890847811
0.23	0.1995087340537246	0.1995036267642859	0.19948815396450145	0.18821182799128552	0.164968268583206	0.12129174857469818	0.031353184275356855
0.24	0.19993937894114844	0.19993414664867717	0.1999182953574044	0.18843069959248654	0.16497581369670958	0.12122020672857331	0.03135044365477012
0.25	0.20039387895550084	0.20038851063560806	0.20037224749110694	0.18865833562040313	0.16498223586356597	0.12114545101814822	0.03134758713290532
0.26	0.2008731005808666	0.20086758405761598	0.20085087221738634	0.18889460138335618	0.1649873467369915	0.12106746227133038	0.031344614799558586
0.27	0.20137799197154432	0.20137231372987935	0.20135511230448386	0.1891393410452462	0.16499094903986547	0.12098622094188353	0.03134152674812745
0.28	0.2019095924868276	0.20190373744546672	0.20188600081325897	0.18939237518482546	0.1649928365192962	0.12090170715721055	0.03133832307560334
0.29	0.20246904388955816	0.20246299512359553	0.20244467209400754	0.18965349817946034	0.16499279392039637	0.12081390076770597	0.03133500388256351
0.3	0.20305760358547656	0.20305134198430214	0.20303237476648492	0.18992247541952662	0.16499059698164945	0.12072278139762815	0.0313315692731631
0.31	0.20367666039009036	0.20367016423113485	0.20365048714945905	0.19019904036533394	0.1649860124542594	0.12062832849743568	0.03132801935512646
0.32	0.20432775345897386	0.20432099787047292	0.20430053574652632	0.19048289146545674	0.1649787981478692	0.12053052139752882	0.031324354239738554
0.33	0.20501259522338938	0.20500555149869945	0.20498421758759075	0.1907736889635995	0.16496870300499497	0.12042933936333029	0.03132057404183591
0.34	0.2057330994622148	0.205725734172365	0.20570342749389306	0.19107105163058932	0.16495546720646465	0.12032476165163827	0.031316678879797256
0.35000000000000003	0.20649141605437077	0.2064836898814549	0.20646029171504346	0.1913745534686174	0.16493882231005721	0.12021676756817606	0.03131266887553402
0.36	0.2072899745586375	0.20728184073515726	0.20725720993613725	0.19168372044613322	0.16491849142442253	0.12010533652625964	0.03130854415448042
0.37	0.2081315396670008	0.2081229418462873	0.20809690846346526	0.19199802733333168	0.16489418942021633	0.1199904481064998	0.031304304845583296
0.38	0.20901928295415315	0.20901015223800465	0.20898250862024165	0.1923168947192803	0.16486562318021064	0.11987208211744847	0.031299951081291716
0.39	0.20995687751492512	0.20994712819538724	0.20991761627733466	0.19263968630147968	0.16483249188994017	0.11975021865709612	0.03129548299754632
