U	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	8.781890365361917	8.677782758268169	4.839864663500408	2.442615940527622	0.71334971908607	0.009295441065828422
0.06	8.769167858169462	8.674251706755602	4.83945962595937	2.4423405853767735	0.7132908201815868	0.00929538072747427
0.12	8.76546312268801	8.670276657188891	4.8382441202056805	2.4415145451253135	0.7131141492656213	0.009295199715299842
0.18	8.759762486875065	8.66689555458855	4.836216966339917	2.440137895706027	0.7128197837189582	0.009294898037965807
0.24	8.753474454922992	8.663115179342691	4.833376196181917	2.4382107647717333	0.7124078524706026	0.009294475709905508
0.3	8.749499693024426	8.658079154437177	4.82971905078754	2.4357333333425366	0.7118785359392904	0.009293932751324507
0.36	8.743188733140268	8.652372276872718	4.825241977047534	2.4327058381112843	0.7112320659514865	0.009293269188197653
0.42	8.736070135825742	8.648194407603201	4.8199406234407025	2.429128574407138	0.7104687256357592	0.009292485052266524
0.48	8.731688233188201	8.645846347382824	4.813809835030438	2.4250018998160554	0.7095888492934019	0.009291580381038136
0.54	8.73348745892206	8.644912106369349	4.806843647807943	2.4203262384573363	0.708592822245122	0.009290555217776659
0.6	8.73660838501885	8.644640263731938	4.799035282498796	2.415102085914403	0.7074810806536276	0.009289409611505626
0.6599999999999999	8.735163800265683	8.644287048224648	4.790377137961178	2.4093300148177574	0.7062541113218197	0.009288143616998867
0.72	8.731992046095819	8.643231698229128	4.780860784316002	2.403010681076963	0.7049124514664659	0.009286757294774493
0.78	8.732787029024294	8.641854354596648	4.770476955962023	2.3961448307579287	0.7034566884669339	0.009285250711093157
0.84	8.73434631933241	8.640513087414808	4.759215544643519	2.388733307600418	0.7018874595888307	0.00928362393794662
0.8999999999999999	8.73151923722309	8.638984238639548	4.747065592755911	2.3807770611695034	0.7002054516821253	0.009281877053056607
0.96	8.726684966706534	8.63674237534593	4.734015287095817	2.3722771556331317	0.6984114008535232	0.009280010139859931
1.02	8.726748679971752	8.634698257682023	4.720051953287447	2.363234779156272	0.696506092112664	0.009278023287507084
1.08	8.729366194538922	8.633374632803157	4.705162051147294	2.3536512538999457	0.694490358991867	0.00927591659084968
1.14	8.72712424064863	8.631704670868773	4.689331171283663	2.3435280466113473	0.6923650831389994	0.009273690150433257
1.2	8.721677869064317	8.628500254877316	4.67254403326694	2.3328667797885023	0.690131193883146	0.009271344072484687
1.26	8.71921393125202	8.624197429638036	4.654784485750342	2.321669243400203	0.687789667772692	0.009268878468906519
1.3199999999999998	8.716898650974542	8.61967998877059	4.636035508969606	2.3099374071387486	0.6853415280854432	0.009266293457261121
1.38	8.710490827624952	8.615514062188934	4.616279220102701	2.297673433179565	0.6827878443104284	0.009263589160762885
1.44	8.705267152029537	8.612101813633254	4.595496882028263	2.2848796894180126	0.6801297316010377	0.009260765708263499
1.5	8.706451201987	8.609715244375538	4.573668916083667	2.271558763149688	0.6773683501991213	0.009257823234242462
1.56	8.709120428733339	8.607585630552311	4.550774919490239	2.2577134751561263	0.6745049048297558	0.009254761878791144
1.6199999999999999	8.703703955997318	8.604483236515645	4.526793688185487	2.2433468941531713	0.6715406440663206	0.009251581787600115
1.68	8.698973611647915	8.601252457669455	4.501703245878793	2.2284623515544904	0.668476859665629	0.009248283111948842
1.74	8.699902661349602	8.598194909586338	4.475480880229292	2.21306345649741	0.665314885872831	0.009244866008682627
1.7999999999999998	8.700537842117733	8.594500953466323	4.448103187130952	2.1971541110730923	0.6620560986958494	0.009241330640206437
1.8599999999999999	8.693173119860779	8.58962968226359	4.419546124179833	2.1807385256973952	0.6587019151491665	0.009237677174463116
1.92	8.68636484854122	8.584593117682072	4.389785074490687	2.163821234553239	0.6552537924667432	0.00923390578491971
1.98	8.685714625333102	8.579976646512701	4.358794922121792	2.1464071110294576	0.6517132272839913	0.009230016650550548
2.04	8.68585457638646	8.575342728463886	4.326550140455723	2.1285013830754993	0.6480817547887283	0.009226009955819145
2.1	8.679591541241344	8.56996931152479	4.293024894964926	2.1101096483854866	0.6443609478409865	0.00922188589066264
2.16	8.671090375613248	8.563484217175038	4.258193161860535	2.0912378893197405	0.6405524160618009	0.009217644650468839
2.2199999999999998	8.668017204096008	8.556840863591594	4.2220288641735495	2.0718924874663083	0.6366578048909587	0.009213286436063341
2.28	8.667043349222554	8.550580407295048	4.184506026842968	2.0520802377401344	0.6326787946138858	0.00920881145368513
2.34	8.660091761868141	8.543941046812584	4.145598952376722	2.0318083619126472	0.6286170993578182	0.009204219914970726
2.4	8.651172743824976	8.536221510658978	4.105282418599042	2.011084521460476	0.6244744660575114	0.009199512036929819
2.46	8.647130975762538	8.527726368032633	4.06353189989099	1.9899168296182648	0.6202526733908181	0.009194688041928753
2.52	8.643370161713166	8.518723595276859	4.020323813158003	1.9683138625177015	0.6159535306844653	0.009189748157666102
2.58	8.632902259605922	8.509187630910825	3.9756357895070966	1.9462846692927716	0.6115788767905248	0.009184692617151142
2.6399999999999997	8.622542560551091	8.499346756842453	3.929446972274162	1.9238387810300173	0.6071305789340546	0.009179521658683734
2.6999999999999997	8.618429362850245	8.489231904269158	3.8817383415970537	1.9009862184423783	0.6026105315325129	0.009174235525829438
2.76	8.614282059548382	8.47840602300974	3.832493065172205	1.8777374981462718	0.5980206549876198	0.009168834467396718
2.82	8.602692469780665	8.466494615708486	3.781696874153975	1.8541036374235191	0.593362894450361	0.009163318737412541
2.88	8.588814356036899	8.453087008603212	3.7293384623526404	1.8300961573533052	0.5886392185600138	0.009157688595101141
2.94	8.581214176608883	8.438747011539899	3.6754099059613994	1.805727084204167	0.5838516181580067	0.009151944304854531
3.0	8.57450837173654	8.42347979723263	3.619907100004322	1.781008948982063	0.579002104977619	0.009146086136211004
3.06	8.557739460401823	8.406517725726442	3.562830206564494	1.7559547850384032	0.5740927103105796	0.009140114363828838
3.12	8.540824479888453	8.388381135289	3.5041841086541456	1.730578123650846	0.5691254836516142	0.0091340292674602
3.1799999999999997	8.531107524798553	8.368966583809819	3.4439788623684406	1.7048929875003416	0.5641024913221998	0.009127831131922759
3.2399999999999998	8.520174964685202	8.347307125134995	3.3822301387741107	1.6789138819796467	0.559025815074745	0.009121520247074726
3.3	8.498160454952869	8.322936029491222	3.3189596458903634	1.6526557842820113	0.5538975506785463	0.009115096907787527
3.36	8.474085167732829	8.295980381918083	3.254195520195795	1.6261341302330388	0.5487198064889162	0.009108561413916987
3.42	8.458205269052563	8.266654496580509	3.18797267642303	1.599364798844468	0.5434947020009734	0.009101914070273972
3.48	8.442313848209537	8.23391424984531	3.120333104063599	1.5723640945852346	0.5382243663896138	0.00909515518659872
3.54	8.411237201752623	8.19614507789002	3.0513260990748488	1.5451487273825422	0.5329109370372583	0.009088285077528851
3.5999999999999996	8.378829968462329	8.153275674799948	2.9810084198196467	1.5177357903837911	0.5275565580510536	0.009081304062570482
3.6599999999999997	8.354480766630564	8.102765654047236	2.909444357318377	1.490142735528645	0.5221633787712175	0.009074212466070215
3.7199999999999998	8.32444600535652	8.039051290578508	2.836705711460767	1.4623873469991102	0.5167335522723336	0.009067010617181551
3.78	8.267108555346296	7.953579424273412	2.7628716668878686	1.4344877126342959	0.5112692338593483	0.009059698849834966
3.84	8.168811205102585	7.832664266690051	2.6880285647471798	1.4064621934144934	0.5057725795601813	0.009052277502708128
3.9	8.090874169931842	7.665581465078798	2.612269569346605	1.3783293911372232	0.5002457446168143	0.009044746919193934
3.96	7.929474963829748	7.349959290092012	2.5356942317505125	1.3501081144245972	0.49469088197680455	0.00903710744736678
4.02	7.022350056450774	6.747630827790489	2.458407955417151	1.3218173432173241	0.48911014078719056	0.009029359439950653
4.08	6.209686435057823	6.0917244303790214	2.3805213719038907	1.2934761919251205	0.4835056648927136	0.009021503254288672
