U	Potencial_0.001	Potencial_0.01	Potencial_0.02	Potencial_0.5	Potencial_1.0	Potencial_2.0	Potencial_10.0
0.0	0.3171476321068981	0.31423895479766856	0.3104211486038544	0.19607591497034613	0.13165797995963274	0.075108142161965	0.015875579416873783
0.01	0.320586305020542	0.3140311313634197	0.3103275002548537	0.19607036584775625	0.13165519395982067	0.07510743245637551	0.01587557157798508
0.02	0.3154487870254196	0.3134408898071785	0.3101295137439632	0.196053718353172	0.131646836413116	0.07510530343487021	0.015875548061387943
0.03	0.319188504483439	0.31332501640477306	0.3099207942263964	0.19602597210698547	0.13163290867788735	0.07510175538321304	0.015875508867289292
0.04	0.314714185491161	0.3128179569791923	0.3096745040395061	0.19598712647931446	0.13161341301866122	0.07509678877759296	0.015875453996033993
0.05	0.31825407771199377	0.31267962828243534	0.30943001567247613	0.19593718059423995	0.1315883526069891	0.07509040428449722	0.015875383448104834
0.06	0.31394840636622057	0.31215738417477973	0.3091616107185105	0.1958761333358197	0.1315577315226574	0.07508260276053394	0.015875297224122526
0.07	0.3171304861859437	0.31200014218861916	0.30891756679724064	0.19580398335595448	0.1315215547552378	0.07507338525220457	0.0158751953248457
0.08	0.31323553474589333	0.31155049174231414	0.30868562794203325	0.19572072908420435	0.1314798282059723	0.07506275299562538	0.01587507775117086
0.09	0.3162568760443837	0.3114925795330015	0.30850990908809983	0.19562636873966682	0.131432558689989	0.07505070741619849	0.015874944504132384
0.1	0.31292386961206536	0.31123559009293544	0.30836812424390186	0.19552090034504038	0.13137975393884121	0.07503725012823284	0.015874795584902488
0.11	0.31645669741811355	0.3113426293578732	0.3082652034995664	0.19540432174300848	0.1313214226033629	0.07502238293451442	0.0158746309947912
0.12	0.31290827277762423	0.3111225040223259	0.3081452915808451	0.195276630615085	0.13125757425683168	0.07500610782582653	0.015874450735246327
0.13	0.3167279295002869	0.31119968320744434	0.30801016664366937	0.19513782450306294	0.13118821939843062	0.07498842698041966	0.015874254807853427
0.14	0.31262606270758986	0.3108207400909786	0.30781360466957725	0.1949879008332123	0.1311133694569972	0.07496934276343156	0.01587404321433577
0.15	0.3160102792389508	0.31074975878264166	0.3075985649789639	0.19482685694336715	0.13103303679504938	0.07494885772625731	0.01587381595655428
0.16	0.3121252312547968	0.3103378431170731	0.30734881185344226	0.1946546901130382	0.13094723471307457	0.07492697460586947	0.015873573036507493
0.17	0.3156143596909634	0.3102490017751002	0.30709225150857883	0.19447139759668178	0.1308559774540688	0.07490369632408882	0.01587331445633156
0.18	0.3115520840366087	0.3097709013841649	0.30679527417669944	0.1942769766602463	0.13075928020831198	0.07487902598680543	0.01587304021830011
0.19	0.3148553647489441	0.30961112006750974	0.3064928240142013	0.19407142462110968	0.13065715911836165	0.07485296688315059	0.01587275032482426
0.2	0.31084659267409637	0.3090980529931601	0.30616290625495335	0.19385473889151278	0.13054963128424912	0.07482552248461947	0.01587244477845251
0.21	0.31404158699263285	0.3089184798653402	0.30584254246175197	0.19362691702558263	0.13043671476886107	0.07479669644414484	0.015872123581870748
0.22	0.3101426592716878	0.30841785921020104	0.30550985152176824	0.19338795677003695	0.13031842860348533	0.07476649259512236	0.015871786737902106
0.23	0.3133211776706488	0.30826346272787286	0.3051976312642709	0.1931378561186482	0.13019479279350243	0.07473491495038673	0.01587143424950695
0.24	0.30955858786416296	0.3078112239848451	0.30487706264416947	0.1928766133705466	0.1300658283241999	0.07470196770114046	0.015871066119782784
0.25	0.3129800304094408	0.30768818289948796	0.304564712676981	0.19260422719243495	0.12993155716668794	0.0746676552158338	0.015870682351964163
0.26	0.30895666753551626	0.30718730565465	0.30422095744142685	0.19232069668479138	0.12979200228389184	0.07463198203899747	0.015870282949422648
0.27	0.3122215180436961	0.3070143456566957	0.30387761038896766	0.19202602145213232	0.12964718763659716	0.07459495289002763	0.015869867915666712
0.28	0.30831853431963385	0.3065150386531342	0.3035059157258696	0.19172020167742004	0.1294971381895201	0.07455657266192374	0.01586943725434163
0.29	0.3118632582996276	0.30632710696636495	0.3031199834928241	0.1914032382006977	0.12934187991737772	0.07451684641997983	0.015868990969229432
0.3	0.3075047651824773	0.3056961828272005	0.30267756342114543	0.19107513260205072	0.12918143981092794	0.07447577940042871	0.01586852906424878
0.31	0.3106263580119971	0.3053828085325567	0.3022222688420516	0.1907358872889969	0.12901584588295095	0.07443337700904053	0.015868051543454883
0.32	0.30654125605017885	0.3047447120982049	0.30173798483452674	0.19038550558842715	0.12884512717414062	0.07438964481967522	0.015867558411039418
0.33	0.3098617462803469	0.30443391981692525	0.3012488948317677	0.19002399184322413	0.1286693137588748	0.07434458857278936	0.015867049671330385
0.34	0.30551765579775114	0.30372289415399045	0.3007183955329577	0.18965135151370555	0.12848843675083102	0.0742982141738985	0.015866525328792062
0.35000000000000003	0.30857715345654185	0.30334128499850455	0.3001842133164938	0.18926759128404771	0.12830252830841407	0.07425052769199439	0.015865985388024834
0.36	0.30444268960314735	0.3026365374338034	0.2996221459848802	0.1888727191738619	0.1281116216399605	0.07420153535791801	0.015865429853765132
0.37	0.3077695553290992	0.30224789744842345	0.2990485446976314	0.18846674465510377	0.12791575100868371	0.07415124356268928	0.015864858730885306
0.38	0.3032151905726418	0.30142068239115466	0.2984226244196759	0.18804967877450876	0.1277149517373232	0.07409965885579292	0.01586427202439348
0.39	0.306080235323845	0.30091431043525435	0.29779046222992117	0.1876215342817514	0.12750926021245967	0.07404678794342204	0.015863669739433477
0.4	0.30185828187257824	0.30009937924535834	0.2971405906166747	0.18718232576353439	0.12729871388845732	0.07399263768667906	0.01586305188128464
0.41000000000000003	0.304861687333684	0.2996291919027333	0.2965028413940993	0.18673206978381168	0.12708335129099452	0.073937215099735	0.015862418455361786
0.42	0.30059264231706123	0.29881764271600686	0.29584333298712695	0.1862707850303498	0.1268632120201414	0.07388052734794782	0.015861769467214976
0.43	0.30363838389232073	0.2983348229660279	0.29518624353483475	0.18579849246782312	0.1266383367529448	0.0738225817459396	0.01586110492252947
0.44	0.2992748527568831	0.2974890185654697	0.2944983317574624	0.18531521549763183	0.12640876724547778	0.07376338575563411	0.015860424827125522
0.45	0.30227310870842417	0.2969719502861104	0.2938087557098646	0.18482098012461057	0.126174546334313	0.07370294698425506	0.015859729186958292
0.46	0.29790871524184714	0.29610310205782236	0.29308639082874305	0.18431581513077977	0.1259357179373767	0.07364127318228489	0.015859018008117665
0.47000000000000003	0.3009981369779534	0.29555603733908486	0.29235374602585756	0.18379975225626244	0.12569232705414116	0.07357837224138601	0.015858291296828152
0.48	0.29643776164670116	0.29461232625207134	0.2915729892135722	0.1832728263874583	0.12544441976511264	0.07351425219228461	0.015857549059448663
0.49	0.2994357628090455	0.2939786710060401	0.2907722838938382	0.18273507575252915	0.12519204323057243	0.07344892120261712	0.01585679130247245
0.5	0.29475482966647987	0.292944684721935	0.2899223549433536	0.18218654212420482	0.12493524568852743	0.07338238757474123	0.015856018032526866
0.51	0.29755456608498726	0.29223254034831564	0.28906083444197794	0.18162727102986653	0.12467407645182908	0.07331465974351128	0.01585522925637325
0.52	0.29296040621181696	0.29116562289669035	0.2881643158044622	0.18105731196880773	0.12440858590441727	0.07324574627401904	0.015854424980906775
0.53	0.29577421499874584	0.29042449299036266	0.2872625888092326	0.1804767186365071	0.12413882549664888	0.07317565585930114	0.01585360521315625
0.54	0.29108825644649894	0.2893081909956405	0.28632584440925524	0.17988554915567417	0.12386484773966906	0.0731043973180127	0.015852769960283966
0.55	0.29374091173741007	0.28852383433867945	0.2853901809138364	0.1792838663137469	0.12358670619878646	0.07303197959207007	0.015851919229585534
0.56	0.2891902689437057	0.2874120366143363	0.284431394514946	0.17867173780643483	0.12330445548581258	0.07295841174426078	0.0158510530284897
0.5700000000000001	0.29196436272900567	0.28663350763375645	0.2834739736103056	0.17804923648680104	0.12301815125032842	0.07288370295582451	0.01585017136455816
0.58	0.28728715010616024	0.28548670236514123	0.2824811049170991	0.17741644061927417	0.12272785016984204	0.07280786252400337	0.015849274245485403
0.59	0.29005067096445436	0.2846583554707856	0.2814778386211045	0.17677343413786803	0.1224336099388022	0.0727308998595644	0.0158483616790985
0.6	0.28524908309573166	0.2834450394480109	0.2804317509367283	0.17612030690776684	0.12213548925643603	0.07265282448429373	0.01584743367335693
0.61	0.2878996679591272	0.2825544961322178	0.2793752751279305	0.17545715498930436	0.12183354781338027	0.07257364602846457	0.015846490236352408
0.62	0.2831121679389045	0.28130285420383533	0.2782804418360232	0.17478408090323322	0.12152784627707644	0.07249337422827892	0.015845531376308637
0.63	0.28579571680547156	0.2803759212713729	0.2771741092131306	0.17410119389603396	0.1212184462759062	0.07241201892328493	0.015844557101581187
0.64	0.2808939767418921	0.2790654484025466	0.27602109686923815	0.17340861020387158	0.12090541038204189	0.0723295900537702	0.01584356742065722
0.65	0.2835627296755464	0.2780678158920039	0.27484690387589317	0.17270645331364726	0.1205888020929929	0.07224609765813252	0.01584256234215537
0.66	0.2784889121704077	0.27666212666291135	0.27361823350106534	0.17199485421944274	0.12026868581183062	0.07216155187022882	0.01584154187482545
0.67	0.2809746467023393	0.2755740758411818	0.27236993008572985	0.17127395167248885	0.11994512682607776	0.07207596291670362	0.015840506027548287
0.68	0.2759382365219119	0.27411507472324603	0.2710755775750192	0.17054389242263307	0.11961819128525168	0.07198934111429785	0.015839454809335553
0.6900000000000001	0.2784416315745918	0.27297611750874967	0.2697628388570443	0.169804831449119	0.11928794617705535	0.07190169686713917	0.015838388229329453
0.7000000000000001	0.2732674343614553	0.27143959086376723	0.26839733264795906	0.16905693217833537	0.11895445930221214	0.0718130406640152	0.015837306296802606
