U	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	8.078181622742804	7.99223251073048	4.485256285850501	2.2543639102818367	0.6526124881561495	0.008432147194042906
0.06	8.07141826822761	7.990861936300453	4.484887103229814	2.2541062949765953	0.6525579314700234	0.008432092417230112
0.12	8.074554123023976	7.990158143894975	4.483779155955933	2.253333467980427	0.6523942857217873	0.008431928089416259
0.18	8.070884783050065	7.988661169561886	4.481931245489344	2.252045486383346	0.6521216238306453	0.008431654218473205
0.24	8.065054693436034	7.98638986712957	4.479341373247209	2.2502424464397315	0.6517400672912346	0.008431270817517874
0.3	8.064475556424226	7.9845898526201715	4.476006739067618	2.247924485224987	0.6512497861175017	0.008430777904915504
0.36	8.065931231325793	7.983163738771202	4.471923739039293	2.2450917829548707	0.6506509987640057	0.008430175504272283
0.42	8.059357112705758	7.981346250747902	4.467087962679294	2.2417445659676107	0.6499439720245829	0.008429463644437368
0.48	8.058583824436298	7.981657760892543	4.461494189438475	2.2378831103685113	0.6491290209081729	0.008428642359498044
0.54	8.0632609170796	7.9832733979267605	4.455136384516612	2.2335077463369193	0.6482065084916813	0.008427711688777175
0.6	8.066268914037334	7.985182274794581	4.448007693973003	2.22861886309463	0.647176845749648	0.00842667167682816
0.6599999999999999	8.07038620489024	7.988738863804734	4.440100439128432	2.2232169145348126	0.6460404913605431	0.008425522373432724
0.72	8.073478180806363	7.9924022706612785	4.4314061102693865	2.217302425509509	0.6447979514893794	0.00842426383359315
0.78	8.079718277551821	7.995463474421134	4.421915359686421	2.210875998773326	0.6434497795464204	0.00842289611753065
0.84	8.085567487265232	7.997481389512026	4.411617994107242	2.203938322579604	0.6419965759216749	0.008421419290675915
0.8999999999999999	8.083836683180555	7.997673972493377	4.400502966619066	2.196490178924505	0.6404389876948667	0.008419833423663795
0.96	8.080111299288326	7.996372200547096	4.388558368216814	2.188532452432683	0.6387777083205314	0.008418138592327862
1.02	8.07987919678607	7.994383660533661	4.375771419160956	2.1800661398767294	0.6370134772879444	0.008416334877692375
1.08	8.079845920388742	7.992194126569856	4.362128460381717	2.171092360320529	0.63514707975548	0.00841442236596359
1.14	8.075795108207547	7.990022172104854	4.347614945224028	2.161612365874393	0.6331793461590675	0.008412401148519974
1.2	8.071800445500983	7.987926699317471	4.332215431888926	2.151627553047337	0.6311111517943685	0.008410271321907989
1.26	8.072504404136604	7.986132569904317	4.315913576991627	2.1411394746788357	0.6289434163723102	0.008408032987828879
1.3199999999999998	8.073896032410163	7.984472389532783	4.298692130723588	2.1301498524293394	0.6266771035476086	0.008405686253128382
1.38	8.069960200232533	7.98269277119268	4.280532934175426	2.1186605898051476	0.624313220419922	0.008403231229789244
1.44	8.067573157278627	7.981414102695459	4.261416919448985	2.1066737856893982	0.6218528170072545	0.00840066803491772
1.5	8.070057653522197	7.9803575344011035	4.2413241132613555	2.0941917483466135	0.6192969856913199	0.008397996790734705
1.56	8.071494920698703	7.978560325357415	4.220233644820283	2.0812170098637224	0.6166468606344728	0.008395217624561158
1.6199999999999999	8.066034020181712	7.975930612732564	4.198123758830712	2.0677523409855216	0.6139036171679769	0.008392330668806625
1.68	8.062458794749974	7.9737944929520195	4.174971834576007	2.0538007662972353	0.611068471151235	0.008389336060958544
1.74	8.064606397896371	7.97229996625351	4.1507544121050195	2.0393655797014616	0.6081426783017996	0.008386233943565531
1.7999999999999998	8.066497880432085	7.9705186076447525	4.125447226648024	2.02445036013078	0.6051275334958949	0.008383024464226018
1.8599999999999999	8.061665226897162	7.968119634868592	4.099025252479811	2.0090589874314007	0.6020243700392642	0.008379707775573222
1.92	8.058043049278783	7.966195400346516	4.0714627575467475	1.9931956583470694	0.5988345589081879	0.008376284035259585
1.98	8.061091264308613	7.965477480919824	4.0427333702742585	1.9768649025258427	0.5955595079605532	0.00837275340594267
2.04	8.066120382201785	7.965449031450645	4.012810160070565	1.9600715984663004	0.5922006611169068	0.00836911605526918
2.1	8.064998088190702	7.964959970412013	3.9816657331372802	1.942820989313054	0.5887594975114703	0.008365372155859129
2.16	8.062470626425467	7.963706951404893	3.949272345284788	1.9251186984051574	0.5852375306131328	0.008361521885286717
2.2199999999999998	8.064526690150283	7.96215692299719	3.915602033522672	1.906970744475072	0.5816363073165248	0.008357565426067555
2.28	8.067281287313747	7.960664573340956	3.8806267682474322	1.8883835563896119	0.5779574070032979	0.008353502965637373
2.34	8.065550736725688	7.959278777172685	3.8443186278707016	1.869363987319142	0.5742024405738216	0.00834933469633564
2.4	8.06333084105289	7.957619026233531	3.806649997712306	1.849919328216104	0.5703730494495463	0.00834506081538574
2.46	8.065857754547547	7.955544421301164	3.7675937949097795	1.8300573204795345	0.5664709045463951	0.00834068152487889
2.52	8.068099891997136	7.952977066492981	3.7271237209573287	1.8097861676788034	0.5624977052195491	0.008336197031751702
2.58	8.064624474895009	7.950111770742519	3.685214543266009	1.7891145462067097	0.5584551781801	0.008331607547766762
2.6399999999999997	8.061082489714003	7.9471260896836355	3.6418424068185096	1.768051614730532	0.5543450763841435	0.008326913289494234
2.6999999999999997	8.063891356960395	7.944337790394722	3.5969851765601444	1.746607022308736	0.5501691778948835	0.008322114478289865
2.76	8.067816049611	7.94145569435478	3.5506228106072046	1.724790915041792	0.545929284718455	0.008317211340273264
2.82	8.064353185396238	7.9377599248821245	3.5027377636531964	1.7026139411271735	0.5416272216142378	0.00831220410630705
2.88	8.059444519195514	7.9331480845355316	3.453315419103084	1.6800872541922278	0.537264834880482	0.008307093011974506
2.94	8.061083860687994	7.9283218965012265	3.4023445474636915	1.65722251478319	0.5328439911161794	0.008301878297557339
3.0	8.064337983438485	7.9234307238970825	3.349817787369398	1.6340318898953194	0.5283665759601439	0.008296560208012917
3.06	8.059973330378412	7.9179608316443515	3.2957321443420926	1.6105280504370219	0.5238344928084042	0.008291138992950555
3.12	8.055823695130547	7.9119995815563176	3.2400895010005963	1.5867241665307312	0.5192496615110276	0.008285614906607721
3.1799999999999997	8.058618981854767	7.9052129702707985	3.182897130989138	1.5626339005647771	0.514614017049586	0.008279988207826036
3.2399999999999998	8.060455238521197	7.896722260498558	3.124168207442604	1.5382713979234344	0.5099295081965682	0.008274259160026937
3.3	8.0519331380002	7.886453717424487	3.063922295420718	1.5136512753371976	0.5051980961580942	0.00826842803118725
