u	Value_40
0.	-788.3424651013801
0.06	-788.3416227645939
0.12	-788.3390957697904
0.18	-788.3348841636237
0.24	-788.3289880238513
0.3	-788.3214074593277
0.36	-788.3121426100007
0.42	-788.3011936469009
0.48	-788.2885607721389
0.54	-788.2742442188891
0.6	-788.2582442513836
0.66	-788.2405611648962
0.72	-788.2211952857289
0.78	-788.2001469711952
0.84	-788.1774166096028
0.9	-788.1530046202355
0.96	-788.1269114533313
1.02	-788.0991375900601
1.08	-788.0696835425028
1.14	-788.0385498536216
1.2	-788.0057370972368
1.26	-787.9712458779991
1.32	-787.9350768313561
1.38	-787.8972306235258
1.44	-787.85770795146
1.5	-787.8165095428133
1.56	-787.7736361559042
1.62	-787.7290885796823
1.68	-787.6828676336838
1.74	-787.6349741679982
1.8	-787.5854090632212
1.86	-787.5341732304146
1.92	-787.4812676110595
1.98	-787.4266931770125
2.04	-787.3704509304582
2.1	-787.312541903858
2.16	-787.2529671599027
2.22	-787.1917277914578
2.28	-787.128824921512
2.34	-787.0642597031219
2.4	-786.9980333193573
2.46	-786.9301469832403
2.52	-786.8606019376896
2.58	-786.7893994554589
2.64	-786.7165408390747
2.7	-786.6420274207733
2.76	-786.5658605624363
2.82	-786.4880416555246
2.88	-786.4085721210104
2.94	-786.3274534093093
3.	-786.2446870002092
3.06	-786.1602744027997
3.12	-786.0742171553986
3.18	-785.9865168254772
3.24	-785.8971750095845
3.3	-785.8061933332731
3.36	-785.7135734510161
3.42	-785.6193170461313
3.48	-785.5234258306984
3.54	-785.4259015454769
3.6	-785.3267459598238
3.66	-785.2259608716068
3.72	-785.1235481071188
3.78	-785.0195095209913
3.84	-784.9138469961036
3.9	-784.8065624434962
3.96	-784.6976578022752
4.02	-784.5871350395223
4.08	-784.4749961502016
4.14	-784.3612431570631
4.2	-784.245878110546
4.26	-784.1289030886833
4.32	-784.0103201970012
4.38	-783.8901315684197
4.44	-783.7683393631521
4.5	-783.6449457686022
4.56	-783.5199529992607
4.62	-783.3933632966002
4.68	-783.2651789289715
4.74	-783.1354021914933
4.8	-783.0040354059475
4.86	-782.8710809206676
4.92	-782.7365411104288
4.98	-782.6004183763373
5.04	-782.4627151457181
5.1	-782.3234338719997
5.16	-782.1825770346003
5.22	-782.0401471388124
5.28	-781.8961467156852
5.34	-781.7505783219074
5.4	-781.6034445396876
5.46	-781.454747976634
5.52	-781.3044912656356
5.58	-781.152677064737
5.64	-780.9993080570168
5.7	-780.8443869504652
5.76	-780.6879164778564
5.82	-780.5298993966239
5.88	-780.3703384887324
5.94	-780.209236560554
6.	-780.0465964427332
6.06	-779.8824209900611
6.12	-779.7167130813451
6.18	-779.5494756192755
6.24	-779.3807115302928
6.3	-779.2104237644568
6.36	-779.0386152953105
6.42	-778.8652891197461
6.48	-778.690448257866
6.54	-778.5140957528522
6.6	-778.3362346708216
6.66	-778.1568681006939
6.72	-777.9759991540478
6.78	-777.793630964984
6.84	-777.609766689982
6.9	-777.4244095077611
6.96	-777.237562619136
7.02	-777.0492292468749
7.08	-776.8594126355562
7.14	-776.668116051423
7.2	-776.4753427822361
7.26	-776.2810961371337
7.32	-776.0853794464795
7.38	-775.8881960617167
7.44	-775.6895493552222
7.5	-775.4894427201556
7.56	-775.287879570311
7.62	-775.0848633399676
7.68	-774.8803974837376
7.74	-774.6744854764183
7.8	-774.4671308128361
7.86	-774.2583370076981
7.92	-774.0481075954378
7.98	-773.8364461300614
8.04	-773.6233561849942
8.1	-773.4088413529271
8.16	-773.19290524566
8.22	-772.9755514939475
8.28	-772.7567837473434
8.34	-772.5366056740426
8.4	-772.3150209607248
8.46	-772.0920333124
8.52	-771.8676464522454
8.58	-771.6418641214509
8.64	-771.4146900790606
8.7	-771.186128101811
8.76	-770.9561819839754
8.82	-770.7248555371998
8.88	-770.4921525903455
8.94	-770.2580769893276
9.	-770.0226325969548
9.06	-769.7858232927672
9.12	-769.5476529728749
9.18	-769.3081255497962
9.24	-769.0672449522951
9.3	-768.82501512522
9.36	-768.5814400293393
9.42	-768.3365236411794
9.48	-768.09026995286
9.54	-767.8426829719338
9.6	-767.5937667212177
9.66	-767.3435252386332
9.72	-767.0919625770404
9.78	-766.8390828040738
9.84	-766.5848900019769
9.9	-766.3293882674388
9.96	-766.0725817114287
10.02	-765.81447445903
10.08	-765.555070649277
10.14	-765.2943744349874
10.2	-765.032389982598
10.26	-764.7691214719991
10.32	-764.5045730963693
10.38	-764.2387490620079
10.44	-763.9716535881712
10.5	-763.7032909069057
10.56	-763.4336652628822
10.62	-763.1627809132298
10.68	-762.8906421273705
10.74	-762.6172531868516
10.8	-762.3426183851831
10.86	-762.0667420276675
10.92	-761.7896284312365
10.98	-761.5112819242839
11.04	-761.2317068465018
11.1	-760.950907548712
11.16	-760.6688883927009
11.22	-760.3856537510558
11.28	-760.1012080069972
11.34	-759.8155555542138
11.4	-759.5287007966967
11.46	-759.2406481485759
11.52	-758.9514020339527
11.58	-758.6609668867363
11.64	-758.3693471504795
11.7	-758.07654727821
11.76	-757.7825717322713
11.82	-757.4874249841558
11.88	-757.1911115143394
11.94	-756.8936358121191
12.	-756.5950023754486
