u	Value_08
0.	-8337.219070351486
0.06	-8336.111970140302
0.12	-8335.252914929588
0.18	-8334.65051069963
0.24	-8334.218305662556
0.3	-8333.985362360716
0.36	-8333.812954299849
0.42	-8333.55847442498
0.48	-8333.300906395441
0.54	-8333.145053004433
0.6	-8332.993020048005
0.66	-8332.730166824456
0.72	-8332.44856345985
0.78	-8332.255366500289
0.84	-8332.054141526265
0.9	-8331.734304659207
0.96	-8331.391249588738
1.02	-8331.132194916892
1.08	-8330.859316856991
1.14	-8330.462294025227
1.2	-8330.038512529425
1.26	-8329.695776070806
1.32	-8329.334254973304
1.38	-8328.842351526337
1.44	-8328.319203291638
1.5	-8327.873832640375
1.56	-8327.403935559503
1.62	-8326.795510835676
1.68	-8326.14946419081
1.74	-8325.576619222684
1.8	-8324.97158479359
1.86	-8324.216786552179
1.92	-8323.414963137293
1.98	-8322.67926603829
2.04	-8321.900319070059
2.1	-8320.955488674943
2.16	-8319.949313785137
2.22	-8318.997693913356
2.28	-8317.985863382946
2.34	-8316.78395798327
2.4	-8315.49793263149
2.46	-8314.246545611135
2.52	-8312.907242833262
2.58	-8311.339328231552
2.64	-8309.648795208448
2.7	-8307.95640625901
2.76	-8306.1271810208
2.82	-8304.002702461787
2.88	-8301.6847187136
2.94	-8299.291954495708
3.	-8296.666376224193
3.06	-8293.616012699093
3.12	-8290.22438464925
3.18	-8286.592163874297
3.24	-8282.507428297204
3.3	-8277.69758858833
3.36	-8272.173178214583
3.42	-8265.943364212766
3.48	-8258.615241275684
3.54	-8249.627295867213
3.6	-8238.604856030466
3.66	-8224.954569905336
3.72	-8207.14233256586
3.78	-8182.391418715314
3.84	-8145.916984516481
3.9	-8086.744049934225
3.96	-7970.278294551395
4.02	-7764.168962062135
4.08	-7545.874375687868
4.14	-7356.743955601047
4.2	-7194.506031600594
4.26	-7052.734689515267
4.32	-6926.593817154747
4.38	-6812.71461236197
4.44	-6708.6966520675805
4.5	-6612.757073077243
4.56	-6523.507155097811
4.62	-6439.804375525585
4.68	-6360.643515797279
4.74	-6285.061575514519
4.8	-6212.037014681008
4.86	-6140.381721523893
4.92	-6068.7896021260985
4.98	-5997.5828901267905
5.04	-5937.905996902598
5.1	-5903.237803510347
5.16	-5883.482370228109
5.22	-5870.469379067496
5.28	-5861.027937174896
5.34	-5853.724749884751
5.4	-5847.820219266455
5.46	-5842.889928143641
5.52	-5838.6699993667635
5.58	-5834.985906564188
5.64	-5831.716445583095
5.7	-5828.774048635083
5.76	-5826.093335399975
5.82	-5823.624101569138
5.88	-5821.326834032077
5.94	-5819.169733097507
6.	-5817.126669502248
6.06	-5815.1757407142095
6.12	-5813.298222145909
6.18	-5811.477784392853
6.24	-5809.699892558246
6.3	-5807.9513312320905
6.36	-5806.219815878958
6.42	-5804.493662242981
6.48	-5802.761492188862
6.54	-5801.011958486232
6.6	-5799.233473161016
6.66	-5797.413924560197
6.72	-5795.540367315839
6.78	-5793.598666822601
6.84	-5791.573075269942
6.9	-5789.445708956252
6.96	-5787.19588528901
7.02	-5784.799260419832
7.08	-5782.226681297512
7.14	-5779.442622904454
7.2	-5776.403011759281
7.26	-5773.052120790511
7.32	-5769.31802150412
7.38	-5765.105724752453
7.44	-5760.286483444187
7.5	-5754.680450114207
7.56	-5748.027248553392
7.62	-5739.933237582053
7.68	-5729.770541040797
7.74	-5716.467341257758
7.8	-5698.0259879778205
7.86	-5670.274127884267
7.92	-5623.167984514374
7.98	-5531.668151773961
8.04	-5391.19288887229
8.1	-5252.191505119481
8.16	-5131.065414304742
8.22	-5025.166556492929
8.28	-4930.794426961187
8.34	-4845.269377250957
8.4	-4766.740193695303
8.46	-4693.89995723875
8.52	-4625.7962336040355
8.58	-4561.713545005945
8.64	-4501.099902250957
8.7	-4443.519576190185
8.76	-4388.62178491644
8.82	-4336.119314117764
8.88	-4285.77352441219
8.94	-4237.383583347555
9.	-4190.778565266614
9.06	-4145.811544263036
9.12	-4102.355101925802
9.18	-4060.2978587154616
9.24	-4019.5417588327687
9.3	-3979.9999184503667
9.36	-3941.5949011633243
9.42	-3904.257321624744
9.48	-3867.9247042829024
9.54	-3832.5405425696526
9.6	-3798.0535171743386
9.66	-3764.416841739741
9.72	-3731.5877114908076
9.78	-3699.52683567247
9.84	-3668.1980387289295
9.9	-3637.567918253201
9.96	-3607.605550121642
10.02	-3578.282233082453
10.08	-3549.5712665200567
10.14	-3521.4477562642865
10.2	-3493.8884442254384
10.26	-3466.8715583663466
10.32	-3440.3766801109546
10.38	-3414.384626765574
10.44	-3388.8773469176845
10.5	-3363.837827095573
10.56	-3339.2500082345455
10.62	-3315.098710712504
10.68	-3291.3695668983387
10.74	-3268.0489603074093
10.8	-3245.123970584918
10.86	-3222.5823236444903
10.92	-3200.412346379434
10.98	-3178.6029254405375
11.04	-3157.143469639327
11.1	-3136.02387559139
11.16	-3115.23449626197
11.22	-3094.766112117054
11.28	-3074.6099046185127
11.34	-3054.757431832422
11.4	-3035.200605946203
11.46	-3015.931672513295
11.52	-2996.943191264131
11.58	-2978.2280183398207
11.64	-2959.7792898202456
11.7	-2941.5904064318865
11.76	-2923.655019332516
11.82	-2905.967016880423
11.88	-2888.5205123050937
11.94	-2871.309832204474
12.	-2854.3295058012704
