u	Value_8
0.	-3293.292442175157
0.06	-3293.2504353734835
0.12	-3293.124421434053
0.18	-3292.9144197519304
0.24	-3292.6204626464914
0.3	-3292.242595352832
0.36	-3291.7808760097105
0.42	-3291.2353756439975
0.48	-3290.6061781516146
0.54	-3289.893380274936
0.6	-3289.097091576582
0.66	-3288.217434409595
0.72	-3287.2545438839043
0.78	-3286.2085678290805
0.84	-3285.0796667532695
0.9	-3283.868013798259
0.96	-3282.573794690628
1.02	-3281.1972076888824
1.08	-3279.7384635265375
1.14	-3278.1977853510516
1.2	-3276.5754086585507
1.26	-3274.8715812242654
1.32	-3273.0865630286225
1.38	-3271.220626178917
1.44	-3269.2740548264874
1.5	-3267.2471450793514
1.56	-3265.1402049102303
1.62	-3262.9535540599127
1.68	-3260.6875239359233
1.74	-3258.342457506413
1.8	-3255.918709189308
1.86	-3253.4166447366083
1.92	-3250.8366411138986
1.98	-3248.179086375002
2.04	-3245.4443795318102
2.1	-3242.6329304193114
2.16	-3239.7451595557973
2.22	-3236.7814979983395
2.28	-3233.742387193553
2.34	-3230.6282788236977
2.4	-3227.439634648243
2.46	-3224.176926340897
2.52	-3220.8406353223104
2.58	-3217.4312525884698
2.64	-3213.949278534972
2.7	-3210.395222777302
2.76	-3206.769603967273
2.82	-3203.0729496057793
2.88	-3199.305795852105
2.94	-3195.468687329898
3.	-3191.5621769301024
3.06	-3187.58682561102
3.12	-3183.5432021957486
3.18	-3179.4318831672463
3.24	-3175.2534524612765
3.3	-3171.0085012574823
3.36	-3166.6976277688987
3.42	-3162.3214370301334
3.48	-3157.8805406845527
3.54	-3153.375556770736
3.6	-3148.8071095085043
3.66	-3144.175829084823
3.72	-3139.4823514398927
3.78	-3134.7273180537086
3.84	-3129.911375733414
3.9	-3125.0351764017414
3.96	-3120.099376886836
4.02	-3115.1046387137612
4.08	-3110.051627897968
4.14	-3104.9410147410163
4.2	-3099.7734736288166
4.26	-3094.549682832655
4.32	-3089.270324313241
4.38	-3083.9360835280513
4.44	-3078.5476492421526
4.5	-3073.105713342733
4.56	-3067.6109706575526
4.62	-3062.0641187774654
4.68	-3056.465857883181
4.74	-3050.8168905764223
4.8	-3045.1179217155814
4.86	-3039.3696582559933
4.92	-3033.5728090948915
4.98	-3027.728084921134
5.04	-3021.836198069719
5.1	-3015.8978623811163
5.16	-3009.913793065406
5.22	-3003.884706571224
5.28	-2997.811320459432
5.34	-2991.694353281491
5.4	-2985.534524462403
5.46	-2979.332554188164
5.52	-2973.0891632975563
5.58	-2966.805073178176
5.64	-2960.4810056665037
5.7	-2954.117682951843
5.76	-2947.715827483947
5.82	-2941.27616188411
5.88	-2934.7994088594814
5.94	-2928.286291120411
6.	-2921.737531300523
6.06	-2915.153851879293
6.12	-2908.53597510686
6.18	-2901.884622930777
6.24	-2895.2005169244453
6.3	-2888.4843782169332
6.36	-2881.7369274238918
6.42	-2874.9588845793023
6.48	-2868.150969067735
6.54	-2861.313899556865
6.6	-2854.4483939299407
6.66	-2847.5551692179665
6.72	-2840.6349415312698
6.78	-2833.688425990267
6.84	-2826.716336655118
6.9	-2819.719386454059
6.96	-2812.698287110179
7.02	-2805.6537490664227
7.08	-2798.586481408638
7.14	-2791.497191786436
7.2	-2784.386586331767
7.26	-2777.255369574988
7.32	-2770.10424435834
7.38	-2762.9339117466943
7.44	-2755.745070935473
7.5	-2748.5384191556745
7.56	-2741.314651575943
7.62	-2734.074461201629
7.68	-2726.8185387708513
7.74	-2719.547572647525
7.8	-2712.2622487114127
7.86	-2704.963250245206
7.92	-2697.6512578187067
7.98	-2690.3269491702076
8.04	-2682.990999085115
8.1	-2675.644079271994
8.16	-2668.2868582360898
8.22	-2660.920001150537
8.28	-2653.5441697253723
8.34	-2646.160022074544
8.4	-2638.768212581099
8.46	-2631.369391760748
8.52	-2623.964206124022
8.58	-2616.5532980372336
8.64	-2609.13730558248
8.7	-2601.7168624169185
8.76	-2594.2925976315687
8.82	-2586.8651356098703
8.88	-2579.435095886277
8.94	-2572.0030930051294
9.	-2564.5697363800505
9.06	-2557.135630154167
9.12	-2549.701373061362
9.18	-2542.267558288866
9.24	-2534.8347733414125
9.3	-2527.4035999072166
9.36	-2519.974613726039
9.42	-2512.548384459559
9.48	-2505.1254755643117
9.54	-2497.7064441674047
9.6	-2490.291840945252
9.66	-2482.8822100055154
9.72	-2475.4780887725
9.78	-2468.08000787615
9.84	-2460.688491044868
9.9	-2453.304055002314
9.96	-2445.927209368351
10.02	-2438.5584565642994
10.08	-2431.1982917226164
10.14	-2423.847202601156
10.2	-2416.5056695021217
10.26	-2409.174165195777
10.32	-2401.8531548490787
10.38	-2394.543095959237
10.44	-2387.244438292319
10.5	-2379.9576238269306
10.56	-2372.6830867030226
10.62	-2365.4212531758503
10.68	-2358.1725415751134
10.74	-2350.937362269269
10.8	-2343.716117635036
10.86	-2336.5092020320485
10.92	-2329.317001782668
10.98	-2322.1398951568785
11.04	-2314.9782523622634
11.1	-2307.832435538981
11.16	-2300.702798759677
11.22	-2293.589688034284
11.28	-2286.493441319608
11.34	-2279.4143885336293
11.4	-2272.352851574413
11.46	-2265.3091443435455
11.52	-2258.2835727739703
11.58	-2251.2764348621345
11.64	-2244.288020704317
11.7	-2237.318612537021
11.76	-2230.3684847813024
11.82	-2223.437904090916
11.88	-2216.527129404139
11.94	-2209.6364119991454
12.	-2202.765995552791
