u	Value_004
0.	-8416.725650850625
0.06	-8409.2590434844
0.12	-8450.500627958896
0.18	-8409.698937401396
0.24	-8399.495431945175
0.3	-8407.723163139128
0.36	-8448.96865041084
0.42	-8408.316635415815
0.48	-8398.848429275997
0.54	-8407.477241724655
0.6	-8448.842595286127
0.66	-8407.879808412026
0.72	-8398.50898303683
0.78	-8407.312539816325
0.84	-8449.004384905058
0.9	-8407.607140859274
0.96	-8398.197265837596
1.02	-8407.145295641718
1.08	-8449.342017017649
1.14	-8407.370183666742
1.2	-8397.84884511877
1.26	-8406.951211765587
1.32	-8449.838311370677
1.38	-8407.125467191243
1.44	-8397.432965240423
1.5	-8406.71614575439
1.56	-8450.50377351007
1.62	-8406.849697167832
1.68	-8396.924429091952
1.74	-8406.426632659384
1.8	-8451.366096083077
1.86	-8406.524126016728
1.92	-8396.294348962105
1.98	-8406.06592852514
2.04	-8452.471569373472
2.1	-8406.128133588647
2.16	-8395.503529232314
2.22	-8405.610334260095
2.28	-8453.89321668974
2.34	-8405.634188781933
2.4	-8394.493611359718
2.46	-8405.0235299828
2.52	-8455.748281872095
2.58	-8405.000859287835
2.64	-8393.171116260553
2.7	-8404.245679131389
2.76	-8458.234999329965
2.82	-8404.15963455716
2.88	-8391.373859935533
2.94	-8403.169322788957
3.	-8461.7171100837
3.06	-8402.985259585872
3.12	-8388.78938372361
3.18	-8401.577194600955
3.24	-8466.94966048811
3.3	-8401.216310343792
3.36	-8384.715374521322
3.42	-8398.942466116448
3.48	-8475.843976367772
3.54	-8398.184920532272
3.6	-8377.107208580792
3.66	-8393.49592105313
3.72	-8495.43995502504
3.78	-8391.573579057924
3.84	-8354.801125727245
3.9	-8375.267641088758
3.96	-8709.970529984
4.02	-7905.395852794875
4.08	-7602.788679237077
4.14	-7387.56294632786
4.2	-7214.090365836155
4.26	-7066.419845253364
4.32	-6936.752876669442
4.38	-6820.561061294265
4.44	-6714.90964656491
4.5	-6617.7352640110785
4.56	-6527.481387990405
4.62	-6442.88573001808
4.68	-6362.830774554731
4.74	-6286.203183305637
4.8	-6211.698364601172
4.86	-6137.420235412117
4.92	-6059.704051344099
4.98	-5967.330100985599
5.04	-5838.455376101723
5.1	-5849.9398662569265
5.16	-5849.512895644636
5.22	-5849.514114597195
5.28	-5849.442598758869
5.34	-5849.369967207731
5.4	-5849.301340387827
5.46	-5849.2383263677475
5.52	-5849.180719797145
5.58	-5849.127887488155
5.64	-5849.079133600783
5.7	-5849.033813569862
5.76	-5848.991361380532
5.82	-5848.95128828127
5.88	-5848.913172842272
5.94	-5848.87664940133
6.	-5848.8413972609205
6.06	-5848.807131268223
6.12	-5848.773593779284
6.18	-5848.740547798445
6.24	-5848.707771033144
6.3	-5848.675050608681
6.36	-5848.6421782057005
6.42	-5848.608945398584
6.48	-5848.575138978789
6.54	-5848.540536038764
6.6	-5848.504898567543
6.66	-5848.467967262381
6.72	-5848.429454185238
6.78	-5848.389033777262
6.84	-5848.346331568501
6.9	-5848.300909655491
6.96	-5848.252247613972
7.02	-5848.199716886438
7.08	-5848.142545689787
7.14	-5848.0797698764345
7.2	-5848.010162493374
7.26	-5847.932130156068
7.32	-5847.843556092976
7.38	-5847.741554343876
7.44	-5847.622069575806
7.5	-5847.4791949496885
7.56	-5847.303943458959
7.62	-5847.081879182955
7.68	-5846.788155979554
7.74	-5846.375724074565
7.8	-5845.746065368599
7.86	-5844.6021727392035
7.92	-5842.614012775165
7.98	-5823.794198691233
8.04	-5461.215068098692
8.1	-5282.805795501571
8.16	-5148.40626964466
8.22	-5036.500253801897
8.28	-4938.879361999721
8.34	-4851.382433974555
8.4	-4771.556984537615
8.46	-4697.8136142428175
8.52	-4629.052285488435
8.58	-4564.473932781922
8.64	-4503.476160670005
8.7	-4445.591271962046
8.76	-4390.447355667733
8.82	-4337.74274309142
8.88	-4287.228614190378
8.94	-4238.696784563876
9.	-4191.970903153121
9.06	-4146.8999637916
9.12	-4103.353427732147
9.18	-4061.217493486387
9.24	-4020.3922002384907
9.3	-3980.7891477220123
9.36	-3942.3296792827673
9.42	-3904.943417961071
9.48	-3868.567075123533
9.54	-3833.143471999984
9.6	-3798.6207293246052
9.66	-3764.9515910172463
9.72	-3732.092855713705
9.78	-3700.0048957984277
9.84	-3668.6512479824764
9.9	-3637.998262801
9.96	-3608.0148029581164
10.02	-3578.6719824226298
10.08	-3549.9429397192444
10.14	-3521.802640072264
10.2	-3494.227702019365
10.26	-3467.1962448796457
10.32	-3440.6877540760324
10.38	-3414.6829618099177
10.44	-3389.163740990825
10.5	-3364.113010654797
10.56	-3339.514651377514
10.62	-3315.3534294127912
10.68	-3291.614928473949
10.74	-3268.285488231023
10.8	-3245.352148727265
10.86	-3222.802600027957
10.92	-3200.625136507172
10.98	-3178.808615256486
11.04	-3157.342418166474
11.1	-3136.216417288677
11.16	-3115.420943134551
11.22	-3094.9467556097543
11.28	-3074.7850173182787
11.34	-3054.927269002058
11.4	-3035.36540690877
11.46	-3016.0916619040004
11.52	-2997.098580164424
11.58	-2978.3790053065304
11.64	-2959.926061821034
11.7	-2941.7331396969057
11.76	-2923.793880130981
11.82	-2906.1021622297776
11.88	-2888.6520906195706
11.94	-2871.437983889067
12.	-2854.4543637964393
