Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(6.98, 7.04)	6.98	7.04	3817	-0.75	1.7525	-1.545312325834118	282336	0.8055235378031383
(7.04, 7.1)	7.04	7.1	3842	-0.75	1.7675	-1.5422332900843394	286178	0.8164850213980028
(7.1, 7.16)	7.1	7.16	3747	-0.75	1.7825	-1.4914417286198287	289925	0.8271754636233951
(7.16, 7.22)	7.16	7.22	3729	-0.75	1.7974999999999999	-1.4718908979365801	293654	0.8378145506419401
(7.22, 7.279999999999999)	7.22	7.279999999999999	3773	-0.75	1.8125	-1.4769334455352645	297427	0.8485791726105564
(7.279999999999999, 7.34)	7.279999999999999	7.34	3737	-0.75	1.8275	-1.4508344107167763	301164	0.8592410841654778
(7.34, 7.4)	7.34	7.4	3794	-0.75	1.8425	-1.4609722447546503	304958	0.8700656205420827
(7.4, 7.46)	7.4	7.46	3900	-0.75	1.8575	-1.489662619201933	308858	0.8811925820256776
(7.46, 7.52)	7.46	7.52	3909	-0.75	1.8725	-1.481139552085193	312767	0.8923452211126961
(7.52, 7.58)	7.52	7.58	3998	-0.75	1.8875	-1.50282345580437	316765	0.9037517831669044
(7.58, 7.64)	7.58	7.64	4109	-0.75	1.9024999999999999	-1.5323698948109625	320874	0.9154750356633381
(7.64, 7.699999999999999)	7.64	7.699999999999999	4299	-0.75	1.9175	-1.5906850809889366	325173	0.9277403708987161
(7.699999999999999, 7.76)	7.699999999999999	7.76	4500	-0.75	1.9324999999999999	-1.6521335347801165	329673	0.9405791726105563
(7.76, 7.82)	7.76	7.82	4657	-0.75	1.9475	-1.69660564217574	334330	0.9538659058487875
(7.82, 7.88)	7.82	7.88	4869	-0.75	1.9625	-1.7602819855039755	339199	0.9677574893009986
(7.88, 7.9399999999999995)	7.88	7.9399999999999995	5442	-0.75	1.9775	-1.9525141082229087	344641	0.9832838801711841
(7.9399999999999995, 8.0)	7.9399999999999995	8.0	5859	-0.75	1.9925	-2.0863026192538308	350500	1.0
