Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	11	1.0	0.01	0.36448708652790823	11	0.00022916666666666666
(0.08, 0.16)	0.08	0.16	22	1.0	0.03	0.24299139101860545	33	0.0006875
(0.16, 0.24)	0.16	0.24	43	1.0	0.05	0.2849626312854555	76	0.0015833333333333333
(0.24, 0.32)	0.24	0.32	65	1.0	0.07	0.30768390421187053	141	0.0029375
(0.32, 0.4)	0.32	0.4	83	1.0	0.09	0.3055800826446098	224	0.004666666666666667
(0.4, 0.48)	0.4	0.48	104	1.0	0.11	0.3132781570157229	328	0.006833333333333334
(0.48, 0.56)	0.48	0.56	145	1.0	0.13	0.36958480801780874	473	0.009854166666666667
(0.56, 0.64)	0.56	0.64	180	1.0	0.15000000000000002	0.3976222762122637	653	0.013604166666666667
(0.64, 0.72)	0.64	0.72	157	1.0	0.16999999999999998	0.3060132223790461	810	0.016875
(0.72, 0.8)	0.72	0.8	144	1.0	0.19	0.2511298586603766	954	0.019875
(0.8, 0.88)	0.8	0.88	232	1.0	0.21000000000000002	0.3660649527033541	1186	0.024708333333333332
(0.88, 0.96)	0.88	0.96	237	1.0	0.22999999999999998	0.3414365197909654	1423	0.029645833333333333
(0.96, 1.04)	0.96	1.04	243	1.0	0.25	0.3220740437319331	1666	0.034708333333333334
(1.04, 1.12)	1.04	1.12	273	1.0	0.27	0.3350335845862589	1939	0.04039583333333333
(1.12, 1.2)	1.12	1.2	270	1.0	0.29000000000000004	0.30850004188882557	2209	0.04602083333333333
(1.2, 1.28)	1.2	1.28	312	1.0	0.31	0.3334896510167369	2521	0.052520833333333336
(1.28, 1.36)	1.28	1.36	332	1.0	0.33	0.3333600901577558	2853	0.0594375
(1.36, 1.44)	1.36	1.44	332	1.0	0.35	0.3143109421487423	3185	0.06635416666666667
(1.44, 1.52)	1.44	1.52	383	1.0	0.37	0.3429939905164343	3568	0.07433333333333333
(1.52, 1.6)	1.52	1.6	422	1.0	0.39	0.3585397447896899	3990	0.083125
(1.6, 1.68)	1.6	1.68	417	1.0	0.41000000000000003	0.3370091243506392	4407	0.0918125
(1.68, 1.76)	1.68	1.76	476	1.0	0.43	0.36679884394774653	4883	0.10172916666666666
(1.76, 1.84)	1.76	1.84	456	1.0	0.45	0.3357699221348	5339	0.11122916666666667
(1.84, 1.92)	1.84	1.92	485	1.0	0.47	0.34192695738111345	5824	0.12133333333333333
(1.92, 2.0)	1.92	2.0	522	1.0	0.49	0.3529912043925195	6346	0.13220833333333334
(2.0, 2.08)	2.0	2.08	547	1.0	0.51	0.35539115210475136	6893	0.14360416666666667
(2.08, 2.16)	2.08	2.16	588	1.0	0.53	0.3676130478188852	7481	0.15585416666666665
(2.16, 2.24)	2.16	2.24	621	1.0	0.55	0.37412641443608396	8102	0.16879166666666667
(2.24, 2.32)	2.24	2.32	695	1.0	0.5700000000000001	0.40401678650222805	8797	0.18327083333333333
(2.32, 2.4)	2.32	2.4	676	1.0	0.59	0.3796506479088842	9473	0.19735416666666666
(2.4, 2.48)	2.4	2.48	749	1.0	0.61	0.40685667333741116	10222	0.21295833333333333
(2.48, 2.56)	2.48	2.56	817	1.0	0.63	0.42970555511298847	11039	0.22997916666666668
(2.56, 2.64)	2.56	2.64	838	1.0	0.65	0.4271890608536879	11877	0.2474375
(2.64, 2.72)	2.64	2.72	877	1.0	0.67	0.43372479631611255	12754	0.2657083333333333
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	964	1.0	0.6900000000000001	0.46293221530026796	13718	0.28579166666666667
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	1027	1.0	0.71	0.4792935183920146	14745	0.3071875
(2.88, 2.96)	2.88	2.96	1052	1.0	0.73	0.47750985682112007	15797	0.32910416666666664
(2.96, 3.04)	2.96	3.04	1143	1.0	0.75	0.5049802907895743	16940	0.35291666666666666
(3.04, 3.12)	3.04	3.12	1170	1.0	0.77	0.5034827523466965	18110	0.3772916666666667
(3.12, 3.2)	3.12	3.2	1314	1.0	0.79	0.5511346739904146	19424	0.4046666666666667
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	1394	1.0	0.81	0.5702525237035962	20818	0.4337083333333333
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	1472	1.0	0.8300000000000001	0.5876505929562807	22290	0.464375
(3.36, 3.44)	3.36	3.44	1724	1.0	0.85	0.6720596119509232	24014	0.5002916666666667
(3.44, 3.52)	3.44	3.52	1821	1.0	0.87	0.6935537978759873	25835	0.5382291666666666
(3.52, 3.6)	3.52	3.6	2105	1.0	0.89	0.7837030818603118	27940	0.5820833333333333
(3.6, 3.68)	3.6	3.68	2526	1.0	0.91	0.919774605963533	30466	0.6347083333333333
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	3035	1.0	0.93	1.0813473192690104	33501	0.6979375
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	3731	1.0	0.95	1.3013409759192653	37232	0.7756666666666666
(3.84, 3.92)	3.84	3.92	4736	1.0	0.97	1.6178170963413079	41968	0.8743333333333333
(3.92, 4.0)	3.92	4.0	6032	1.0	0.99	2.018903678545765	48000	1.0
(5.0, 5.06)	5.0	5.06	2255	-1.0	1.2574999999999998	-0.7922582132614617	2255	0.04697916666666667
(5.06, 5.12)	5.06	5.12	2103	-1.0	1.2725	-0.7301459479365936	4358	0.09079166666666667
(5.12, 5.18)	5.12	5.18	1821	-1.0	1.2875	-0.624871771290216	6179	0.12872916666666667
(5.18, 5.24)	5.18	5.24	1564	-1.0	1.3025	-0.530502230749391	7743	0.1613125
(5.24, 5.3)	5.24	5.3	1478	-1.0	1.3175	-0.4956236341907892	9221	0.19210416666666666
(5.3, 5.36)	5.3	5.36	1374	-1.0	1.3325	-0.45556223265844964	10595	0.22072916666666667
(5.36, 5.42)	5.36	5.42	1326	-1.0	1.3475000000000001	-0.4347533607565163	11921	0.24835416666666665
(5.42, 5.48)	5.42	5.48	1208	-1.0	1.3625	-0.39170455426251727	13129	0.2735208333333333
(5.48, 5.54)	5.48	5.54	1067	-1.0	1.3775	-0.34221655069045115	14196	0.29575
(5.54, 5.6)	5.54	5.6	1005	-1.0	1.3925	-0.3188592759571737	15201	0.3166875
(5.6, 5.66)	5.6	5.66	997	-1.0	1.4075	-0.3129499975398642	16198	0.33745833333333336
(5.66, 5.72)	5.66	5.72	940	-1.0	1.4224999999999999	-0.29194683822654277	17138	0.35704166666666665
(5.72, 5.78)	5.72	5.78	982	-1.0	1.4375	-0.30180875380903577	18120	0.3775
(5.78, 5.84)	5.78	5.84	898	-1.0	1.4525000000000001	-0.27314194227471034	19018	0.39620833333333333
(5.84, 5.9)	5.84	5.9	892	-1.0	1.4675	-0.268543683801882	19910	0.41479166666666667
